"x","y","EBOV","BDBV","BOMV","TAFV","RESTV","SUDV","MARV","LLOV","MLAV","RAVN","DEHV"
20.5,66.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
21.5,66.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
22.5,66.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
23.5,66.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
24.5,66.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
25.5,66.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
26.5,66.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
27.5,66.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
28.5,66.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
29.5,66.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
30.5,66.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
31.5,66.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
32.5,66.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
35.5,66.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
36.5,66.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
37.5,66.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
38.5,66.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
80.5,66.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
81.5,66.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
89.5,66.50107,1,1,NA,1,1,1,1,1,1,1,1
90.5,66.50107,1,1,NA,1,1,1,1,1,1,1,1
122.5,66.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
123.5,66.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
124.5,66.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
125.5,66.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
126.5,66.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
127.5,66.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
128.5,66.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
129.5,66.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
130.5,66.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
131.5,66.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
132.5,66.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
133.5,66.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
134.5,66.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
135.5,66.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
136.5,66.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
137.5,66.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
138.5,66.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
-156.5,65.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-155.5,65.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-154.5,65.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-153.5,65.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-152.5,65.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-151.5,65.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-150.5,65.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-149.5,65.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-148.5,65.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-147.5,65.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-146.5,65.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-145.5,65.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-144.5,65.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-143.5,65.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-105.5,65.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
