"species","family","pred","virus"
"Acerodon celebensis","Pteropodidae",219.095825195312,"EBOV"
"Acerodon humilis","Pteropodidae",244.653396606445,"EBOV"
"Acerodon jubatus","Pteropodidae",223.058349609375,"EBOV"
"Acerodon leucotis","Pteropodidae",263.476593017578,"EBOV"
"Acerodon mackloti","Pteropodidae",234.516326904297,"EBOV"
"Aethalops aequalis","Pteropodidae",217.946685791016,"EBOV"
"Aethalops alecto","Pteropodidae",196.85124206543,"EBOV"
"Alionycteris paucidentata","Pteropodidae",202.148971557617,"EBOV"
"Ametrida centurio","Phyllostomidae",128.680694580078,"EBOV"
"Amorphochilus schnablii","Furipteridae",170.081558227539,"EBOV"
"Anoura aequatoris","Phyllostomidae",128.340957641602,"EBOV"
"Anoura cadenai","Phyllostomidae",124.556419372559,"EBOV"
"Anoura carishina","Phyllostomidae",123.928535461426,"EBOV"
"Anoura caudifer","Phyllostomidae",130.806030273438,"EBOV"
"Anoura cultrata","Phyllostomidae",152.984466552734,"EBOV"
"Anoura fistulata","Phyllostomidae",115.890625,"EBOV"
"Anoura geoffroyi","Phyllostomidae",133.802001953125,"EBOV"
"Anoura latidens","Phyllostomidae",151.394256591797,"EBOV"
"Anoura luismanueli","Phyllostomidae",127.507789611816,"EBOV"
"Anoura peruana","Phyllostomidae",114.501586914062,"EBOV"
"Anthops ornatus","Hipposideridae",225.548416137695,"EBOV"
"Antrozous pallidus","Vespertilionidae",242.074813842773,"EBOV"
"Aproteles bulmerae","Pteropodidae",212.290008544922,"EBOV"
"Ardops nichollsi","Phyllostomidae",129.349456787109,"EBOV"
"Arielulus aureocollaris","Vespertilionidae",211.03923034668,"EBOV"
"Arielulus circumdatus","Vespertilionidae",222.354583740234,"EBOV"
"Arielulus cuprosus","Vespertilionidae",196.089218139648,"EBOV"
"Arielulus societatis","Vespertilionidae",222.631790161133,"EBOV"
"Arielulus torquatus","Vespertilionidae",227.369140625,"EBOV"
"Ariteus flavescens","Phyllostomidae",106.27082824707,"EBOV"
"Artibeus aequatorialis","Phyllostomidae",142.503341674805,"EBOV"
"Artibeus amplus","Phyllostomidae",88.1406784057617,"EBOV"
"Artibeus concolor","Phyllostomidae",94.3955917358398,"EBOV"
"Artibeus fimbriatus","Phyllostomidae",132.764602661133,"EBOV"
"Artibeus fraterculus","Phyllostomidae",162.106857299805,"EBOV"
"Artibeus hirsutus","Phyllostomidae",135.693298339844,"EBOV"
"Artibeus inopinatus","Phyllostomidae",123.129379272461,"EBOV"
"Artibeus jamaicensis","Phyllostomidae",156.683547973633,"EBOV"
"Artibeus lituratus","Phyllostomidae",166.107971191406,"EBOV"
"Artibeus obscurus","Phyllostomidae",135.95866394043,"EBOV"
"Artibeus planirostris","Phyllostomidae",148.364288330078,"EBOV"
"Artibeus schwartzi","Phyllostomidae",206.428863525391,"EBOV"
"Asellia arabica","Hipposideridae",232.17414855957,"EBOV"
"Asellia italosomalica","Hipposideridae",215.860443115234,"EBOV"
"Asellia patrizii","Hipposideridae",222.603302001953,"EBOV"
"Asellia tridens","Hipposideridae",252.853744506836,"EBOV"
"Aselliscus stoliczkanus","Hipposideridae",236.998413085938,"EBOV"
"Aselliscus tricuspidatus","Hipposideridae",214.61637878418,"EBOV"
"Austronomus australis","Molossidae",342.705718994141,"EBOV"
"Austronomus kuboriensis","Molossidae",283.166015625,"EBOV"
"Baeodon alleni","Vespertilionidae",181.416870117188,"EBOV"
"Baeodon gracilis","Vespertilionidae",171.580291748047,"EBOV"
"Balantiopteryx infusca","Emballonuridae",193.516159057617,"EBOV"
"Balantiopteryx io","Emballonuridae",210.489273071289,"EBOV"
"Balantiopteryx plicata","Emballonuridae",187.455123901367,"EBOV"
"Balionycteris maculata","Pteropodidae",223.09147644043,"EBOV"
"Balionycteris seimundi","Pteropodidae",213.220397949219,"EBOV"
"Barbastella barbastellus","Vespertilionidae",175.75260925293,"EBOV"
"Barbastella beijingensis","Vespertilionidae",186.924514770508,"EBOV"
"Barbastella darjelingensis","Vespertilionidae",160.48844909668,"EBOV"
"Barbastella leucomelas","Vespertilionidae",166.071517944336,"EBOV"
"Bauerus dubiaquercus","Vespertilionidae",202.050140380859,"EBOV"
"Boneia bidens","Pteropodidae",197.085891723633,"EBOV"
"Brachyphylla cavernarum","Phyllostomidae",170.268524169922,"EBOV"
"Brachyphylla nana","Phyllostomidae",168.892211914062,"EBOV"
"Cardioderma cor","Megadermatidae",207.684295654297,"EBOV"
"Carollia benkeithi","Phyllostomidae",131.862396240234,"EBOV"
"Carollia brevicauda","Phyllostomidae",167.997283935547,"EBOV"
"Carollia castanea","Phyllostomidae",152.61735534668,"EBOV"
"Carollia manu","Phyllostomidae",154.864044189453,"EBOV"
"Carollia monohernandezi","Phyllostomidae",191.456268310547,"EBOV"
"Carollia perspicillata","Phyllostomidae",187.85075378418,"EBOV"
"Carollia sowelli","Phyllostomidae",151.920486450195,"EBOV"
"Carollia subrufa","Phyllostomidae",171.837356567383,"EBOV"
"Casinycteris argynnis","Pteropodidae",279.078948974609,"EBOV"
"Casinycteris campomaanensis","Pteropodidae",256.898773193359,"EBOV"
"Centronycteris centralis","Emballonuridae",195.629379272461,"EBOV"
"Centronycteris maximiliani","Emballonuridae",214.030914306641,"EBOV"
"Centurio senex","Phyllostomidae",100.820190429688,"EBOV"
"Chaerephon aloysiisabaudiae","Molossidae",230.392517089844,"EBOV"
"Chaerephon ansorgei","Molossidae",295.451232910156,"EBOV"
"Chaerephon atsinanana","Molossidae",224.265167236328,"EBOV"
"Chaerephon bemmeleni","Molossidae",264.131561279297,"EBOV"
"Chaerephon bivittatus","Molossidae",259.609436035156,"EBOV"
"Chaerephon bregullae","Molossidae",299.740753173828,"EBOV"
"Chaerephon chapini","Molossidae",238.037384033203,"EBOV"
"Chaerephon gallagheri","Molossidae",214.977920532227,"EBOV"
"Chaerephon jobensis","Molossidae",301.178924560547,"EBOV"
"Chaerephon jobimena","Molossidae",168.516876220703,"EBOV"
"Chaerephon johorensis","Molossidae",298.632354736328,"EBOV"
"Chaerephon leucogaster","Molossidae",218.164138793945,"EBOV"
"Chaerephon major","Molossidae",313.862274169922,"EBOV"
"Chaerephon nigeriae","Molossidae",297.694244384766,"EBOV"
"Chaerephon plicatus","Molossidae",292.530853271484,"EBOV"
"Chaerephon pumilus","Molossidae",222.48762512207,"EBOV"
"Chaerephon pusillus","Molossidae",225.703720092773,"EBOV"
"Chaerephon russatus","Molossidae",289.108673095703,"EBOV"
"Chaerephon solomonis","Molossidae",303.121673583984,"EBOV"
"Chaerephon tomensis","Molossidae",277.087249755859,"EBOV"
"Chalinolobus dwyeri","Vespertilionidae",236.956283569336,"EBOV"
"Chalinolobus gouldii","Vespertilionidae",254.182556152344,"EBOV"
"Chalinolobus morio","Vespertilionidae",238.463485717773,"EBOV"
"Chalinolobus neocaledonicus","Vespertilionidae",225.03190612793,"EBOV"
"Chalinolobus nigrogriseus","Vespertilionidae",235.819351196289,"EBOV"
"Chalinolobus picatus","Vespertilionidae",228.471466064453,"EBOV"
"Chalinolobus tuberculatus","Vespertilionidae",215.265167236328,"EBOV"
"Cheiromeles parvidens","Molossidae",232.706008911133,"EBOV"
"Cheiromeles torquatus","Molossidae",240.661224365234,"EBOV"
"Chilonatalus macer","Natalidae",245.833038330078,"EBOV"
"Chilonatalus micropus","Natalidae",255.049285888672,"EBOV"
"Chilonatalus tumidifrons","Natalidae",261.965026855469,"EBOV"
"Chiroderma doriae","Phyllostomidae",141.672592163086,"EBOV"
"Chiroderma improvisum","Phyllostomidae",139.408172607422,"EBOV"
"Chiroderma salvini","Phyllostomidae",138.132873535156,"EBOV"
"Chiroderma trinitatum","Phyllostomidae",113.982948303223,"EBOV"
"Chiroderma villosum","Phyllostomidae",128.146286010742,"EBOV"
"Chiroderma vizzotoi","Phyllostomidae",205.548858642578,"EBOV"
"Chironax melanocephalus","Pteropodidae",226.109191894531,"EBOV"
"Choeroniscus godmani","Phyllostomidae",153.22917175293,"EBOV"
"Choeroniscus minor","Phyllostomidae",141.190200805664,"EBOV"
"Choeroniscus periosus","Phyllostomidae",137.013290405273,"EBOV"
"Choeronycteris mexicana","Phyllostomidae",155.181945800781,"EBOV"
"Chrotopterus auritus","Phyllostomidae",208.724594116211,"EBOV"
"Cistugo lesueuri","Cistugidae",249.452270507812,"EBOV"
"Cistugo seabrae","Cistugidae",262.40234375,"EBOV"
"Cloeotis percivali","Hipposideridae",260.684783935547,"EBOV"
"Coelops frithii","Hipposideridae",217.033142089844,"EBOV"
"Coelops robinsoni","Hipposideridae",214.93327331543,"EBOV"
"Coleura afra","Emballonuridae",246.109146118164,"EBOV"
"Coleura kibomalandy","Emballonuridae",233.822891235352,"EBOV"
"Coleura seychellensis","Emballonuridae",246.648330688477,"EBOV"
"Cormura brevirostris","Emballonuridae",202.601928710938,"EBOV"
"Corynorhinus mexicanus","Vespertilionidae",194.550964355469,"EBOV"
"Corynorhinus rafinesquii","Vespertilionidae",214.728897094727,"EBOV"
"Corynorhinus townsendii","Vespertilionidae",212.902145385742,"EBOV"
"Craseonycteris thonglongyai","Craseonycteridae",186.183517456055,"EBOV"
"Cynomops abrasus","Molossidae",306.665252685547,"EBOV"
"Cynomops greenhalli","Molossidae",273.822357177734,"EBOV"
"Cynomops mexicanus","Molossidae",277.928192138672,"EBOV"
"Cynomops milleri","Molossidae",184.159683227539,"EBOV"
"Cynomops paranus","Molossidae",277.585968017578,"EBOV"
"Cynomops planirostris","Molossidae",274.954986572266,"EBOV"
"Cynopterus brachyotis","Pteropodidae",262.758087158203,"EBOV"
"Cynopterus horsfieldii","Pteropodidae",222.202758789062,"EBOV"
"Cynopterus luzoniensis","Pteropodidae",234.441665649414,"EBOV"
"Cynopterus minutus","Pteropodidae",261.650573730469,"EBOV"
"Cynopterus nusatenggara","Pteropodidae",236.33381652832,"EBOV"
"Cynopterus sphinx","Pteropodidae",284.009765625,"EBOV"
"Cynopterus titthaecheilus","Pteropodidae",247.130401611328,"EBOV"
"Cyttarops alecto","Emballonuridae",214.800033569336,"EBOV"
"Dermanura anderseni","Phyllostomidae",79.1530609130859,"EBOV"
"Dermanura azteca","Phyllostomidae",112.435073852539,"EBOV"
"Dermanura bogotensis","Phyllostomidae",72.4792556762695,"EBOV"
"Dermanura cinerea","Phyllostomidae",87.1870651245117,"EBOV"
"Dermanura glauca","Phyllostomidae",85.2872924804688,"EBOV"
"Dermanura gnoma","Phyllostomidae",79.0012664794922,"EBOV"
"Dermanura phaeotis","Phyllostomidae",123.460296630859,"EBOV"
"Dermanura rava","Phyllostomidae",111.245239257812,"EBOV"
"Dermanura rosenbergi","Phyllostomidae",74.1391983032227,"EBOV"
"Dermanura tolteca","Phyllostomidae",103.506996154785,"EBOV"
"Dermanura watsoni","Phyllostomidae",101.726875305176,"EBOV"
"Desmalopex microleucopterus","Pteropodidae",196.331512451172,"EBOV"
"Desmodus rotundus","Phyllostomidae",192.512268066406,"EBOV"
"Diaemus youngi","Phyllostomidae",157.384750366211,"EBOV"
"Diclidurus albus","Emballonuridae",236.11882019043,"EBOV"
"Diclidurus ingens","Emballonuridae",225.885665893555,"EBOV"
"Diclidurus isabella","Emballonuridae",216.657974243164,"EBOV"
"Diclidurus scutatus","Emballonuridae",212.058502197266,"EBOV"
"Diphylla ecaudata","Phyllostomidae",158.074951171875,"EBOV"
"Dobsonia anderseni","Pteropodidae",206.484466552734,"EBOV"
"Dobsonia beauforti","Pteropodidae",191.984985351562,"EBOV"
"Dobsonia chapmani","Pteropodidae",219.993026733398,"EBOV"
"Dobsonia crenulata","Pteropodidae",204.013549804688,"EBOV"
"Dobsonia emersa","Pteropodidae",214.593551635742,"EBOV"
"Dobsonia exoleta","Pteropodidae",198.30842590332,"EBOV"
"Dobsonia inermis","Pteropodidae",217.697662353516,"EBOV"
"Dobsonia magna","Pteropodidae",199.495651245117,"EBOV"
"Dobsonia minor","Pteropodidae",211.737564086914,"EBOV"
"Dobsonia moluccensis","Pteropodidae",210.928192138672,"EBOV"
"Dobsonia pannietensis","Pteropodidae",217.555236816406,"EBOV"
"Dobsonia peronii","Pteropodidae",181.375091552734,"EBOV"
"Dobsonia praedatrix","Pteropodidae",235.133666992188,"EBOV"
"Dobsonia viridis","Pteropodidae",205.229110717773,"EBOV"
"Dryadonycteris capixaba","Phyllostomidae",150.605422973633,"EBOV"
"Dyacopterus brooksi","Pteropodidae",229.688720703125,"EBOV"
"Dyacopterus rickarti","Pteropodidae",229.620315551758,"EBOV"
"Dyacopterus spadiceus","Pteropodidae",245.977890014648,"EBOV"
"Ectophylla alba","Phyllostomidae",111.636795043945,"EBOV"
"Eidolon dupreanum","Pteropodidae",177.680358886719,"EBOV"
"Eidolon helvum","Pteropodidae",159.001571655273,"EBOV"
"Emballonura alecto","Emballonuridae",203.998260498047,"EBOV"
"Emballonura beccarii","Emballonuridae",204.171752929688,"EBOV"
"Emballonura dianae","Emballonuridae",206.35466003418,"EBOV"
"Emballonura furax","Emballonuridae",204.330657958984,"EBOV"
"Emballonura monticola","Emballonuridae",211.503814697266,"EBOV"
"Emballonura raffrayana","Emballonuridae",188.476165771484,"EBOV"
"Emballonura semicaudata","Emballonuridae",226.1962890625,"EBOV"
"Emballonura serii","Emballonuridae",215.205657958984,"EBOV"
"Enchisthenes hartii","Phyllostomidae",111.86190032959,"EBOV"
"Eonycteris major","Pteropodidae",227.220657348633,"EBOV"
"Eonycteris robusta","Pteropodidae",222.215774536133,"EBOV"
"Eonycteris spelaea","Pteropodidae",221.779632568359,"EBOV"
"Epomophorus angolensis","Pteropodidae",276.155029296875,"EBOV"
"Epomophorus anselli","Pteropodidae",255.589965820312,"EBOV"
"Epomophorus crypturus","Pteropodidae",262.281219482422,"EBOV"
"Epomophorus gambianus","Pteropodidae",277.484344482422,"EBOV"
"Epomophorus grandis","Pteropodidae",253.390899658203,"EBOV"
"Epomophorus labiatus","Pteropodidae",291.343872070312,"EBOV"
"Epomophorus minimus","Pteropodidae",266.708068847656,"EBOV"
"Epomophorus minor","Pteropodidae",265.861572265625,"EBOV"
"Epomophorus wahlbergi","Pteropodidae",288.961029052734,"EBOV"
"Epomops buettikoferi","Pteropodidae",264.997650146484,"EBOV"
"Epomops dobsonii","Pteropodidae",270.533447265625,"EBOV"
"Epomops franqueti","Pteropodidae",286.25390625,"EBOV"
"Eptesicus anatolicus","Vespertilionidae",231.27848815918,"EBOV"
"Eptesicus andinus","Vespertilionidae",180.8544921875,"EBOV"
"Eptesicus bobrinskoi","Vespertilionidae",239.838088989258,"EBOV"
"Eptesicus bottae","Vespertilionidae",238.940689086914,"EBOV"
"Eptesicus brasiliensis","Vespertilionidae",233.264831542969,"EBOV"
"Eptesicus chiriquinus","Vespertilionidae",201.671569824219,"EBOV"
"Eptesicus diminutus","Vespertilionidae",237.706985473633,"EBOV"
"Eptesicus dimissus","Vespertilionidae",196.031311035156,"EBOV"
"Eptesicus floweri","Vespertilionidae",216.690490722656,"EBOV"
"Eptesicus furinalis","Vespertilionidae",233.153030395508,"EBOV"
"Eptesicus fuscus","Vespertilionidae",228.321441650391,"EBOV"
"Eptesicus gobiensis","Vespertilionidae",218.076293945312,"EBOV"
"Eptesicus guadeloupensis","Vespertilionidae",231.095291137695,"EBOV"
"Eptesicus hottentotus","Vespertilionidae",259.238311767578,"EBOV"
"Eptesicus innoxius","Vespertilionidae",251.778991699219,"EBOV"
"Eptesicus isabellinus","Vespertilionidae",229.151336669922,"EBOV"
"Eptesicus japonensis","Vespertilionidae",175.994445800781,"EBOV"
"Eptesicus kobayashii","Vespertilionidae",192.899139404297,"EBOV"
"Eptesicus lobatus","Vespertilionidae",222.689270019531,"EBOV"
"Eptesicus nilssonii","Vespertilionidae",219.035568237305,"EBOV"
"Eptesicus ognevi","Vespertilionidae",216.937301635742,"EBOV"
"Eptesicus pachyomus","Vespertilionidae",209.570526123047,"EBOV"
"Eptesicus pachyotis","Vespertilionidae",193.705062866211,"EBOV"
"Eptesicus platyops","Vespertilionidae",218.126220703125,"EBOV"
"Eptesicus serotinus","Vespertilionidae",246.380416870117,"EBOV"
"Eptesicus taddeii","Vespertilionidae",194.942016601562,"EBOV"
"Eptesicus tatei","Vespertilionidae",197.744216918945,"EBOV"
"Erophylla bombifrons","Phyllostomidae",144.798751831055,"EBOV"
"Erophylla sezekorni","Phyllostomidae",141.736312866211,"EBOV"
"Euderma maculatum","Vespertilionidae",182.925537109375,"EBOV"
"Eudiscoderma thongareeae","Megadermatidae",230.995452880859,"EBOV"
"Eudiscopus denticulus","Vespertilionidae",211.923004150391,"EBOV"
"Eumops auripendulus","Molossidae",283.906616210938,"EBOV"
"Eumops bonariensis","Molossidae",304.132507324219,"EBOV"
"Eumops dabbenei","Molossidae",312.659088134766,"EBOV"
"Eumops delticus","Molossidae",280.708312988281,"EBOV"
"Eumops ferox","Molossidae",289.110717773438,"EBOV"
"Eumops floridanus","Molossidae",283.764373779297,"EBOV"
"Eumops glaucinus","Molossidae",291.900634765625,"EBOV"
"Eumops hansae","Molossidae",272.298889160156,"EBOV"
"Eumops maurus","Molossidae",301.896331787109,"EBOV"
"Eumops nanus","Molossidae",287.575622558594,"EBOV"
"Eumops patagonicus","Molossidae",299.103302001953,"EBOV"
"Eumops perotis","Molossidae",325.017395019531,"EBOV"
"Eumops trumbulli","Molossidae",286.459320068359,"EBOV"
"Eumops underwoodi","Molossidae",306.623748779297,"EBOV"
"Eumops wilsoni","Molossidae",314.308319091797,"EBOV"
"Falsistrellus mackenziei","Vespertilionidae",233.270721435547,"EBOV"
"Falsistrellus mordax","Vespertilionidae",223.870376586914,"EBOV"
"Falsistrellus petersi","Vespertilionidae",221.602020263672,"EBOV"
"Falsistrellus tasmaniensis","Vespertilionidae",270.786773681641,"EBOV"
"Furipterus horrens","Furipteridae",175.080215454102,"EBOV"
"Gardnerycteris crenulatum","Phyllostomidae",145.163162231445,"EBOV"
"Gardnerycteris koepckeae","Phyllostomidae",150.794769287109,"EBOV"
"Glauconycteris alboguttata","Vespertilionidae",218.792129516602,"EBOV"
"Glauconycteris argentata","Vespertilionidae",230.751831054688,"EBOV"
"Glauconycteris beatrix","Vespertilionidae",229.602615356445,"EBOV"
"Glauconycteris curryae","Vespertilionidae",192.684814453125,"EBOV"
"Glauconycteris egeria","Vespertilionidae",222.146957397461,"EBOV"
"Glauconycteris gleni","Vespertilionidae",196.877151489258,"EBOV"
"Glauconycteris humeralis","Vespertilionidae",224.200256347656,"EBOV"
"Glauconycteris kenyacola","Vespertilionidae",213.372360229492,"EBOV"
"Glauconycteris machadoi","Vespertilionidae",210.825424194336,"EBOV"
"Glauconycteris poensis","Vespertilionidae",228.810180664062,"EBOV"
"Glauconycteris superba","Vespertilionidae",208.643005371094,"EBOV"
"Glauconycteris variegata","Vespertilionidae",258.510711669922,"EBOV"
"Glischropus bucephalus","Vespertilionidae",168.514068603516,"EBOV"
"Glischropus javanus","Vespertilionidae",167.779098510742,"EBOV"
"Glischropus tylopus","Vespertilionidae",173.294540405273,"EBOV"
"Glossophaga commissarisi","Phyllostomidae",141.457214355469,"EBOV"
"Glossophaga leachii","Phyllostomidae",146.91178894043,"EBOV"
"Glossophaga longirostris","Phyllostomidae",154.804885864258,"EBOV"
"Glossophaga morenoi","Phyllostomidae",144.348358154297,"EBOV"
"Glossophaga soricina","Phyllostomidae",153.9609375,"EBOV"
"Glyphonycteris behnii","Phyllostomidae",184.43473815918,"EBOV"
"Glyphonycteris daviesi","Phyllostomidae",202.237564086914,"EBOV"
"Glyphonycteris sylvestris","Phyllostomidae",189.836380004883,"EBOV"
"Haplonycteris fischeri","Pteropodidae",223.375762939453,"EBOV"
"Harpiocephalus harpia","Vespertilionidae",254.838638305664,"EBOV"
"Harpiola grisea","Vespertilionidae",218.455032348633,"EBOV"
"Harpiola isodon","Vespertilionidae",220.398010253906,"EBOV"
"Harpyionycteris celebensis","Pteropodidae",224.602920532227,"EBOV"
"Harpyionycteris whiteheadi","Pteropodidae",220.250091552734,"EBOV"
"Hesperoptenus blanfordi","Vespertilionidae",199.590866088867,"EBOV"
"Hesperoptenus doriae","Vespertilionidae",170.347625732422,"EBOV"
"Hesperoptenus gaskelli","Vespertilionidae",170.242126464844,"EBOV"
"Hesperoptenus tickelli","Vespertilionidae",232.770080566406,"EBOV"
"Hesperoptenus tomesi","Vespertilionidae",219.270721435547,"EBOV"
"Hipposideros abae","Hipposideridae",228.033599853516,"EBOV"
"Hipposideros alongensis","Hipposideridae",251.390258789062,"EBOV"
"Hipposideros armiger","Hipposideridae",253.834197998047,"EBOV"
"Hipposideros ater","Hipposideridae",227.765640258789,"EBOV"
"Hipposideros atrox","Hipposideridae",206.531112670898,"EBOV"
"Hipposideros beatus","Hipposideridae",229.29345703125,"EBOV"
"Hipposideros bicolor","Hipposideridae",222.679763793945,"EBOV"
"Hipposideros boeadii","Hipposideridae",229.316390991211,"EBOV"
"Hipposideros breviceps","Hipposideridae",241.807800292969,"EBOV"
"Hipposideros caffer","Hipposideridae",260.110046386719,"EBOV"
"Hipposideros calcaratus","Hipposideridae",207.784439086914,"EBOV"
"Hipposideros camerunensis","Hipposideridae",255.110305786133,"EBOV"
"Hipposideros cervinus","Hipposideridae",225.992156982422,"EBOV"
"Hipposideros cineraceus","Hipposideridae",203.269836425781,"EBOV"
"Hipposideros coronatus","Hipposideridae",231.146286010742,"EBOV"
"Hipposideros corynophyllus","Hipposideridae",208.713592529297,"EBOV"
"Hipposideros coxi","Hipposideridae",230.917633056641,"EBOV"
"Hipposideros crumeniferus","Hipposideridae",224.784545898438,"EBOV"
"Hipposideros curtus","Hipposideridae",227.290634155273,"EBOV"
"Hipposideros cyclops","Hipposideridae",253.653442382812,"EBOV"
"Hipposideros demissus","Hipposideridae",273.294799804688,"EBOV"
"Hipposideros diadema","Hipposideridae",268.791107177734,"EBOV"
"Hipposideros dinops","Hipposideridae",250.949066162109,"EBOV"
"Hipposideros doriae","Hipposideridae",226.360473632812,"EBOV"
"Hipposideros durgadasi","Hipposideridae",218.794860839844,"EBOV"
"Hipposideros dyacorum","Hipposideridae",205.73486328125,"EBOV"
"Hipposideros edwardshilli","Hipposideridae",225.265808105469,"EBOV"
"Hipposideros einnaythu","Hipposideridae",246.214767456055,"EBOV"
"Hipposideros fuliginosus","Hipposideridae",224.801696777344,"EBOV"
"Hipposideros fulvus","Hipposideridae",193.304290771484,"EBOV"
"Hipposideros galeritus","Hipposideridae",207.498580932617,"EBOV"
"Hipposideros grandis","Hipposideridae",230.755096435547,"EBOV"
"Hipposideros griffini","Hipposideridae",241.730651855469,"EBOV"
"Hipposideros halophyllus","Hipposideridae",231.990081787109,"EBOV"
"Hipposideros hypophyllus","Hipposideridae",231.790191650391,"EBOV"
"Hipposideros inexpectatus","Hipposideridae",230.478820800781,"EBOV"
"Hipposideros inornatus","Hipposideridae",265.088195800781,"EBOV"
"Hipposideros jonesi","Hipposideridae",230.658874511719,"EBOV"
"Hipposideros khaokhouayensis","Hipposideridae",207.044219970703,"EBOV"
"Hipposideros khasiana","Hipposideridae",196.930572509766,"EBOV"
"Hipposideros lamottei","Hipposideridae",208.899078369141,"EBOV"
"Hipposideros lankadiva","Hipposideridae",257.528503417969,"EBOV"
"Hipposideros larvatus","Hipposideridae",248.056991577148,"EBOV"
"Hipposideros lekaguli","Hipposideridae",247.939346313477,"EBOV"
"Hipposideros lylei","Hipposideridae",284.405395507812,"EBOV"
"Hipposideros macrobullatus","Hipposideridae",213.528625488281,"EBOV"
"Hipposideros madurae","Hipposideridae",230.307098388672,"EBOV"
"Hipposideros maggietaylorae","Hipposideridae",226.648971557617,"EBOV"
"Hipposideros marisae","Hipposideridae",227.970504760742,"EBOV"
"Hipposideros megalotis","Hipposideridae",239.671188354492,"EBOV"
"Hipposideros muscinus","Hipposideridae",230.56852722168,"EBOV"
"Hipposideros nequam","Hipposideridae",234.275497436523,"EBOV"
"Hipposideros nicobarulae","Hipposideridae",213.794784545898,"EBOV"
"Hipposideros obscurus","Hipposideridae",209.942245483398,"EBOV"
"Hipposideros orbiculus","Hipposideridae",229.328308105469,"EBOV"
"Hipposideros papua","Hipposideridae",222.473327636719,"EBOV"
"Hipposideros pelingensis","Hipposideridae",238.355545043945,"EBOV"
"Hipposideros pendlebury","Hipposideridae",249.12272644043,"EBOV"
"Hipposideros pomona","Hipposideridae",212.841705322266,"EBOV"
"Hipposideros pratti","Hipposideridae",237.632308959961,"EBOV"
"Hipposideros pygmaeus","Hipposideridae",227.271636962891,"EBOV"
"Hipposideros ridleyi","Hipposideridae",225.616516113281,"EBOV"
"Hipposideros rotalis","Hipposideridae",208.992385864258,"EBOV"
"Hipposideros ruber","Hipposideridae",238.285842895508,"EBOV"
"Hipposideros scutinares","Hipposideridae",239.102066040039,"EBOV"
"Hipposideros semoni","Hipposideridae",214.668594360352,"EBOV"
"Hipposideros sorenseni","Hipposideridae",209.891098022461,"EBOV"
"Hipposideros speoris","Hipposideridae",224.856948852539,"EBOV"
"Hipposideros stenotis","Hipposideridae",240.028228759766,"EBOV"
"Hipposideros sumbae","Hipposideridae",232.354019165039,"EBOV"
"Hipposideros tephrus","Hipposideridae",231.822357177734,"EBOV"
"Hipposideros turpis","Hipposideridae",246.408065795898,"EBOV"
"Hipposideros wollastoni","Hipposideridae",202.712860107422,"EBOV"
"Histiotus alienus","Vespertilionidae",214.619247436523,"EBOV"
"Histiotus humboldti","Vespertilionidae",194.066024780273,"EBOV"
"Histiotus laephotis","Vespertilionidae",229.354583740234,"EBOV"
"Histiotus macrotus","Vespertilionidae",256.197174072266,"EBOV"
"Histiotus magellanicus","Vespertilionidae",219.179504394531,"EBOV"
"Histiotus montanus","Vespertilionidae",244.907623291016,"EBOV"
"Histiotus velatus","Vespertilionidae",229.504669189453,"EBOV"
"Hylonycteris underwoodi","Phyllostomidae",131.676498413086,"EBOV"
"Hypsignathus monstrosus","Pteropodidae",301.988189697266,"EBOV"
"Hypsugo affinis","Vespertilionidae",207.552581787109,"EBOV"
"Hypsugo alaschanicus","Vespertilionidae",208.755569458008,"EBOV"
"Hypsugo anthonyi","Vespertilionidae",222.217376708984,"EBOV"
"Hypsugo arabicus","Vespertilionidae",220.452865600586,"EBOV"
"Hypsugo ariel","Vespertilionidae",214.912857055664,"EBOV"
"Hypsugo bemainty","Vespertilionidae",217.130523681641,"EBOV"
"Hypsugo cadornae","Vespertilionidae",215.768692016602,"EBOV"
"Hypsugo dolichodon","Vespertilionidae",219.76708984375,"EBOV"
"Hypsugo eisentrauti","Vespertilionidae",225.957366943359,"EBOV"
"Hypsugo joffrei","Vespertilionidae",226.857604980469,"EBOV"
"Hypsugo kitcheneri","Vespertilionidae",199.329177856445,"EBOV"
"Hypsugo lanzai","Vespertilionidae",216.651992797852,"EBOV"
"Hypsugo lophurus","Vespertilionidae",191.72428894043,"EBOV"
"Hypsugo macrotis","Vespertilionidae",212.311874389648,"EBOV"
"Hypsugo musciculus","Vespertilionidae",230.947387695312,"EBOV"
"Hypsugo pulveratus","Vespertilionidae",214.002960205078,"EBOV"
"Hypsugo savii","Vespertilionidae",209.499481201172,"EBOV"
"Hypsugo vordermanni","Vespertilionidae",209.34440612793,"EBOV"
"Ia io","Vespertilionidae",248.615951538086,"EBOV"
"Idionycteris phyllotis","Vespertilionidae",184.898864746094,"EBOV"
"Kerivoula africana","Vespertilionidae",236.15397644043,"EBOV"
"Kerivoula agnella","Vespertilionidae",211.670471191406,"EBOV"
"Kerivoula argentata","Vespertilionidae",255.233932495117,"EBOV"
"Kerivoula crypta","Vespertilionidae",204.459869384766,"EBOV"
"Kerivoula cuprosa","Vespertilionidae",231.550247192383,"EBOV"
"Kerivoula depressa","Vespertilionidae",204.459869384766,"EBOV"
