"Ametrida_centurio","Anoura_geoffroyi","Artibeus_concolor","Artibeus_jamaicensis","Artibeus_lituratus","Artibeus_obscurus","Aselliscus_stoliczkanus","Balantiopteryx_plicata","Brachyphylla_cavernarum","Carollia_brevicauda","Carollia_perspicillata","Carollia_sowelli","Centurio_senex","Chaerephon_nigeriae","Chaerephon_plicatus","Chaerephon_pumilus","Coleura_afra","Cynopterus_sphinx","Dermanura_glaucus","Desmodus_rotundus","Diaemus_youngi","Eidolon_helvum","Eonycteris_spelaea","Epomophorus_crypturus","Epomophorus_labiatus","Epomophorus_minimus","Epomophorus_wahlbergi","Epomops_buettikoferi","Eptesicus_fuscus","Eptesicus_guadeloupensis","Erophylla_bombifrons","Glauconycteris_poensis","Glossophaga_leachii","Glossophaga_soricina","Hipposideros_armiger","Hipposideros_beatus","Hipposideros_bicolor","Hipposideros_cineraceus","Hipposideros_diadema","Hipposideros_jonesi","Hipposideros_larvatus","Hipposideros_lekaguli","Hipposideros_pomona","Hipposideros_pratti","Hipposideros_ruber","Hypsignathus_monstrosus","Kerivoula_cuprosa","Kerivoula_phalaena","Kerivoula_smithii","Lonchorhina_aurita","Macroglossus_sobrinus","Macrotus_waterhousii","Megaloglossus_woermanni","Micropteropus_pusillus","Mimon_crenulatum","Miniopterus_magnater","Miniopterus_minor","Miniopterus_natalensis","Miniopterus_pusillus","Miniopterus_schreibersii","Molossops_temminckii","Molossus_molossus","Molossus_rufus","Monophyllus_redmani","Mops_condylurus","Mops_nanulus","Mormoops_blainvillei","Mormoops_megalophylla","Murina_leucogaster","Myonycteris_angolensis","Myopterus_daubentonii","Myotis_bocagii","Myotis_brandtii","Myotis_davidii","Myotis_lucifugus","Myotis_myotis","Myotis_pilosus","Natalus_stramineus","Neoromicia_nana","Neoromicia_rendalli","Noctilio_leporinus","Nycteris_hispida","Nycticeinops_schlieffeni","Nyctinomops_macrotis","Phylloderma_stenops","Phyllostomus_discolor","Phyllostomus_elongatus","Phyllostomus_hastatus","Pipistrellus_coromandra","Pipistrellus_kuhlii","Pipistrellus_nanulus","Pteronotus_parnellii","Pteronotus_quadridens","Pteropus_alecto","Pteropus_dasymallus","Pteropus_giganteus","Pteropus_lylei","Pteropus_vampyrus","Rhinolophus_affinis","Rhinolophus_ferrumequinum","Rhinolophus_hipposideros","Rhinolophus_shameli","Rhinolophus_shortridgei","Rhinolophus_sinicus","Rhinophylla_pumilio","Rousettus_aegyptiacus","Rousettus_leschenaultii","Scotoecus_albofuscus","Scotophilus_kuhlii","Scotophilus_viridis","Stenoderma_rufum","Sturnira_hondurensis","Sturnira_lilium","Sturnira_luisi","Taphozous_longimanus","Taphozous_mauritianus","Triaenops_afer","Uroderma_bilobatum","Vampyressa_bidens"
0,58.159075620822,31.5352779243662,29.4366555369856,28.6552663885756,28.3004152278642,124.338032515411,62.6584326702782,57.6724241742251,43.9292919960306,44.4361516375559,44.8284347526604,13.267812422446,90.6593844546437,89.1967718486946,91.785904864683,71.5250540284629,124.338032459497,23.39287797781,67.694516571668,63.9636031865908,123.810989268217,108.998468699909,118.17430424378,118.04484740683,118.2549595721,118.316991623451,117.777312581443,101.106475640906,100.976232131958,57.0776305016439,95.4777705862779,55.5841815694605,56.074092117957,124.338032488813,124.338032458533,124.338032463183,124.338032488554,124.338032562905,124.338032485968,124.33803247043,124.338032564702,124.338032494068,124.338032558637,124.338032473874,117.657988950464,91.9125719534785,91.9063468642006,91.9125719560777,59.9310661344774,124.338032447524,69.4474255973066,117.653648739416,118.080981661906,52.290957727959,91.8696503568487,91.8696503679072,91.8696504144838,91.8696503445182,91.8696503695392,86.7443031597467,86.16862039119,86.4302067631818,55.1351995258576,91.2140187032109,91.73333793106,70.4311894583505,72.027229268238,91.9332050020632,115.945926192955,79.1710945618882,92.4608407398826,92.1914252942267,94.9591584519914,92.1914252350404,94.132511969859,92.8240328353657,72.9295337517655,99.6267377282378,99.6267377593298,90.76516356989,57.767921995084,99.6267377892593,85.65194754885,51.957812910951,50.5174375053734,51.2857424020576,51.7807697934713,99.5718111414753,97.0389973017153,101.178773642366,73.882273362404,84.6414011534472,120.386711423781,122.844078686795,121.885167213238,121.844098674884,122.574253532962,124.338032580041,124.338032554174,132.862707953565,124.338032573112,124.338032588307,124.338032543099,42.6339699857552,110.430575786453,111.679087426783,95.9364456489115,95.2219244746011,95.2428967509328,14.8169365963217,36.0092519115734,32.7347183849041,34.04064398665,62.3642217031109,62.6030406512721,124.338032540962,49.8568366759388,17.3747190139427
58.159075620822,0,54.1903322525696,55.2108565331127,55.6804974720431,55.8062302401152,124.338032563127,76.191376466452,15.2236466046043,44.7540929548691,44.2873105583628,43.8547824535151,58.1458087859298,93.5592342230134,92.1872232602093,94.6560852941855,80.4660268737579,124.338032507213,57.5366337198488,47.3866515332172,40.0192836830221,123.68328347387,102.929912618554,115.035577263539,114.133542270059,115.286129782011,115.520946545813,113.546893760311,101.136820864622,101.048850167673,19.606303317858,96.7812852285705,27.6740919473912,26.0384557981674,124.338032536528,124.338032506249,124.338032510898,124.33803253627,124.338032610621,124.338032533684,124.338032518145,124.338032612418,124.338032541784,124.338032606353,124.338032521589,113.316096152092,94.7694176993807,94.7631926101028,94.7694177019799,26.1713461727624,124.33803249524,50.5869580906859,113.054658551178,114.685100447261,33.8502756733322,94.7264961027508,94.7264961138093,94.7264961603859,94.7264960904203,94.7264961154413,90.525599983768,90.3152852945515,90.4208156534785,28.5637072204485,94.0977047606252,94.6099878858543,52.309114659522,54.8964806752551,94.7900507479653,110.899503385129,85.7634953315323,95.0914490011447,95.0108072971729,96.384202897396,95.0108072379865,95.7327077955981,95.1210835458586,81.2991672435297,99.9726135462728,99.9726135773647,79.9210968133465,72.573254179094,99.9726136072942,90.1502275815377,34.379370914524,37.210565493818,35.7626296207919,34.7873029137522,99.972613594675,98.0248602309004,101.178773690081,57.5256423686946,71.9181487399741,118.564947024846,122.168320447703,120.822784454557,120.781715916204,121.810165784009,124.338032627756,124.338032601889,132.862708001281,124.338032620827,124.338032636023,124.338032590815,45.8668789605447,104.707432160899,106.103333085862,97.1020993962548,96.6233620857403,96.644334362072,58.140823225551,51.5387811464293,53.5615429372566,52.851633269029,76.0448984963796,76.1913764435737,124.338032588678,67.9254317447815,58.3247220266216
31.5352779243662,54.1903322525696,0,15.9566854819683,18.4789382370116,19.4732089602812,124.338032523852,66.6130507015548,53.5593334761631,36.318120784226,36.9606557779197,37.4424806660631,30.4805661644385,91.8108177549394,90.4008332810287,92.9084866987196,74.7834353899571,124.338032467937,25.9457970884587,66.2189064512037,61.8993637761365,123.810989276657,108.703819050336,117.916448300538,117.760843792469,117.997103628859,118.060485752666,117.493308967081,101.136820825347,101.048850128398,52.8898490052937,95.6240373181775,51.0439535032221,51.631027531577,124.338032497253,124.338032466973,124.338032471623,124.338032496994,124.338032571345,124.338032494408,124.33803247887,124.338032573142,124.338032502508,124.338032567078,124.338032482314,117.373985336102,93.0218191039147,93.0155940146368,93.0218191065139,56.4744270518758,124.338032455965,68.1332880283677,117.369645125055,117.823125718665,47.3404549119661,92.9788975072849,92.9788975183434,92.97889756492,92.9788974949544,92.9788975199754,88.6547751898784,88.2746376799328,88.4532790703397,50.5530821161311,92.3501061651593,92.8623892903884,69.1170518894116,70.8791219208651,93.0424521524994,115.651276543381,82.1591364299869,93.5547129431088,93.3006724446629,95.1290320181564,93.3006723854766,94.4345652571542,93.6802965685687,76.0966227799645,99.7730044601374,99.7730044912294,90.4612436008691,62.2205700734302,99.7730045211588,87.9326478294589,46.9841499565572,45.2305743928638,46.1110043013978,46.7596457985216,99.7180778733748,97.1852640336149,101.178773650806,72.9134268988591,84.0277119595403,120.25809980916,122.844078695235,121.867511783043,121.82644324469,122.574253541403,124.338032588481,124.338032562614,132.862707962005,124.338032581552,124.338032596748,124.338032551539,34.5464055818491,110.135926136879,111.38443777721,96.0827123808111,95.3681912065007,95.3891634828324,30.2972549140337,23.2025872627077,11.7968707354749,17.7701773769173,66.3830082212975,66.5873574598465,124.338032549402,55.0453056279096,33.6754377350297
29.4366555369856,55.2108565331127,15.9566854819683,0,10.7619434772764,13.1146607062046,124.33803260517,66.0247493385108,54.5798577567062,38.2321308942311,38.8608764284501,39.3115276549183,28.291909749106,91.6076970564682,90.1879356063809,92.7067113874567,74.293965826936,124.338032549256,22.8300542146361,66.5959399589397,62.6549948794185,123.810989357976,108.755708202048,117.96833745225,117.812732944181,118.04899278057,118.112374904378,117.545198118793,101.136820906666,101.048850209717,53.9103732858369,95.5952482888963,52.0993452284965,52.6754977322468,124.338032578572,124.338032548292,124.338032552942,124.338032578313,124.338032652664,124.338032575727,124.338032560189,124.338032654461,124.338032583827,124.338032648397,124.338032563633,117.425874487814,92.8200437926519,92.813818703374,92.8200437952511,57.494951332419,124.338032537284,68.5103215361037,117.421534276767,117.875014870377,48.5691491699793,92.7771221960221,92.7771222070805,92.7771222536572,92.7771221836915,92.7771222087126,88.4371577010046,88.0071681238989,88.2356615814659,51.6093365061226,92.1483308538964,92.6606139791255,69.4940853971476,71.2561554286011,92.8406768412366,115.703165695093,81.7705586546579,93.3683125790559,93.0988971334001,95.1002429888752,93.0988970742138,94.3542716463214,93.6000029577359,75.6071532169435,99.7442154308562,99.7442154619481,90.5219086425671,61.5868590121072,99.7442154918776,87.5737424779165,48.2128442145704,46.477819703103,47.351528386157,47.9947609194448,99.6892888440936,97.1564750043336,101.178773732125,73.290460406595,84.3981462261242,120.297167747078,122.844078776554,121.881596007839,121.840527469485,122.574253622721,124.3380326698,124.338032643933,132.862708043324,124.338032662871,124.338032678066,124.338032632858,36.4806399131494,110.187815288591,111.436326928922,96.0539233515298,95.3394021772195,95.3603744535512,28.0892488758056,26.1980047533672,19.1930640335954,22.2359609173894,65.7838076306535,65.9889423646729,124.338032630721,54.2879142754025,31.9620346917263
28.6552663885756,55.6804974720431,18.4789382370116,10.7619434772764,0,7.53513400084986,124.338032583237,65.7812236194161,55.0494986956366,38.9781715591147,39.5921476723664,40.0355001594146,27.4495775535056,91.5317152888549,90.1104078059773,92.6334512905173,74.076794815548,124.338032527323,21.4186313881079,66.7531628182522,62.8122177387311,123.810989336042,108.798084928846,118.010714179049,117.855109670979,118.091369507369,118.154751631176,117.587574845592,101.136820884732,101.048850187783,54.3800142247672,95.5775723868268,52.584671529692,53.153507568427,124.338032556638,124.338032526359,124.338032531008,124.33803255638,124.338032630731,124.338032553794,124.338032538255,124.338032632528,124.338032561894,124.338032626463,124.338032541699,117.468251214613,92.7467836957124,92.7405586064345,92.7467836983116,57.8110579322333,124.33803251535,68.6675443954162,117.463911003565,117.917391597175,49.0732200423904,92.7038620990826,92.7038621101411,92.7038621567177,92.7038620867521,92.7038621117731,88.2941794201049,87.8318175324225,88.0926833005662,52.0962919650697,92.075070756957,92.5873538821861,69.6513082564602,71.4133782879136,92.7674167442971,115.745542421892,81.5627365015178,93.2950524821165,93.0256370364606,95.0825670868057,93.0256369772743,94.3208667770551,93.5665980884696,75.3899822055554,99.7265395287867,99.7265395598787,90.5642853693656,61.3145185762092,99.7265395898082,87.3950873236724,48.7180110401467,46.9838488518719,47.8575575349259,48.5007900682137,99.6716129420242,97.1387991022642,101.178773710191,73.4476832659076,84.4405229529228,120.327487688974,122.844078754621,121.885167281064,121.84409874271,122.574253600788,124.338032647866,124.338032621999,132.862708021391,124.338032640937,124.338032656133,124.338032610925,37.2754805490446,110.23019201539,111.47870365572,96.0362474494604,95.32172627515,95.3426985514817,27.2275351210146,27.4435882477047,21.1186808755096,23.6932410280817,65.5378647504758,65.7454166455782,124.338032608788,53.9595393923416,31.2270238953645
28.3004152278642,55.8062302401152,19.4732089602812,13.1146607062046,7.53513400084986,0,124.33803259073,65.7268543927559,55.1752314637087,39.1947177601806,39.8076907033427,40.2510431903909,27.0462193374282,91.5219699532411,90.1006624703634,92.625311469322,74.0389565864161,124.338032534815,20.7514903938367,66.8331026995705,62.8921576200494,123.810989343535,108.799481386691,118.012110636893,117.856506128824,118.092765965213,118.156148089021,117.588971303436,101.136820892225,101.048850195276,54.5057469928393,95.5775723943196,52.7104042977642,53.2792403364991,124.338032564131,124.338032533851,124.338032538501,124.338032563872,124.338032638223,124.338032561286,124.338032545748,124.33803264002,124.338032569386,124.338032633956,124.338032549192,117.469647672457,92.7386438745171,92.7324187852393,92.7386438771164,57.9367907003054,124.338032522843,68.7474842767345,117.46530746141,117.91878805502,49.2058323539705,92.6957222778873,92.6957222889458,92.6957223355224,92.6957222655568,92.6957222905778,88.282734408271,87.8203725205886,88.0812382887324,52.2265252889018,92.0658080603033,92.5792140609908,69.7312481377785,71.4933181692319,92.7592769231018,115.746938879736,81.5248982723859,93.2869126609212,93.0174972152654,95.0825670942985,93.017497156079,94.3188303066818,93.5645616180963,75.3521439764235,99.7265395362795,99.7265395673714,90.5656818272099,61.2554447628961,99.7265395973009,87.3836423118386,48.8506233517269,47.116461163452,47.9901698465061,48.6334023797938,99.6716129495169,97.1387991097569,101.178773717684,73.5276231472259,84.4419194107671,120.327487696467,122.844078762113,121.885167288556,121.844098750203,122.574253608281,124.338032655359,124.338032629492,132.862708028883,124.33803264843,124.338032663626,124.338032618417,37.5132513367971,110.231588473234,111.480100113565,96.0362474569531,95.3217262826427,95.3426985589745,26.8091839174056,27.8532650171526,21.7867252461809,24.1782659635813,65.4809611417496,65.688513036852,124.33803261628,53.8531686546935,30.9102930467099
124.338032515411,124.338032563127,124.338032523852,124.33803260517,124.338032583237,124.33803259073,0,124.338033099506,124.338032555843,124.338032485837,124.338032462209,124.338032518147,124.338032546263,125.498130138622,125.498130051578,125.498130244306,124.655588947545,59.0454715123774,124.338032546353,123.544563059682,124.17387100635,68.8791824210467,104.049466821169,86.6859865719207,88.0428363004778,85.8721376634051,85.2920201491161,89.7384057644928,126.040655337572,126.004589820623,124.338032564782,125.49813101752,124.338032563866,124.338032553658,39.6520164674322,34.1937724995304,26.612599843233,27.8637718187496,45.7085620932968,37.5894207183857,40.6655006996394,51.1446837305625,28.3642699913899,48.0351328977985,33.9957607847167,90.4832430973841,125.498130155606,125.498130159048,125.498130158205,124.338032585029,65.4384559311424,123.278581783956,91.4578556684211,87.291609435849,124.338032494487,125.498130216966,125.498130228025,125.498130274601,125.498130204636,125.498130229657,125.498129968201,125.498129983444,125.498129952998,124.338032605638,125.498130192744,125.498130365699,122.94703657244,122.718804936677,125.498130133975,95.46666011504,125.229549046742,125.498130260204,125.498130296233,125.498130769832,125.498130237046,125.498130459203,125.498130294918,124.731154132415,125.498129679222,125.498129710314,113.587560488107,124.338032677769,125.498129740244,125.498129986697,124.338032500596,124.338032405748,124.338032496169,124.338032531957,125.498129727625,125.49813047785,126.065530223031,122.307744727349,117.450741876448,77.5453515969684,70.9421167026909,72.7043506558013,72.9522809870769,71.647397405209,59.5237526682155,57.3911418429915,84.9120628447486,59.9286842518708,60.3426765283288,60.4176371781363,124.338032485082,102.734260071225,101.469349168855,125.498130903204,125.49813087269,125.498130911022,124.338032576549,124.338032515693,124.33803250513,124.338032516115,124.338033070683,124.338033076628,55.7641584796663,124.33803253382,124.338032586918
62.6584326702782,76.191376466452,66.6130507015548,66.0247493385108,65.7812236194161,65.7268543927559,124.338033099506,0,75.9031395843906,69.3177802573794,69.4933139677399,69.519618068225,63.0271174099468,81.1085843909892,74.4408512788471,86.9113268721547,38.8607032577987,124.338033043592,64.5465947952628,80.2180338909099,78.5001107291659,123.928985186156,110.60465400356,118.439024774855,118.309567937905,118.519680103175,118.581712154526,118.042033112518,99.4016379669456,99.2540495900208,75.5362232344672,92.7853384685307,74.2170319468258,74.6574001051457,124.338033072908,124.338033042628,124.338033047278,124.338033072649,124.338033147,124.338033070063,124.338033054525,124.338033148797,124.338033078163,124.338033142732,124.338033057969,117.922709481539,87.6511112044924,87.6344025493858,87.6558730783386,77.1118171422146,124.338033031619,81.3135131153039,117.918369270491,118.345702192981,71.9706352679667,87.5382756243976,87.5193741484759,87.5193741950525,87.5432706745026,87.5337040932835,65.5580008626938,64.211639838615,64.7816630836718,73.8287535759452,84.0266047256854,86.6766227837193,81.9397110185688,82.9688489072136,87.7428425007826,116.414007427792,51.7581966896778,88.3918835560847,88.0673382680802,91.4136044216732,88.0673382088939,90.1956373730212,88.7550756515679,41.2894624354948,97.8774772678614,97.8774772989534,96.7502359763267,37.4533632874648,97.8774773288828,63.1392139597193,71.7637231214327,71.0969133168534,71.4562412352897,71.6240465188862,97.8087006562242,94.7272427847717,99.8350034067845,84.2724649264912,92.0900530538237,120.606895895096,122.962074604734,122.017220354067,121.976151815713,122.692249450901,124.338033164136,124.338033138269,132.86270853766,124.338033157207,124.338033172402,124.338033127194,69.1032289786982,111.679327061205,112.731697495139,93.3974242414729,92.0353679614149,92.1386306113086,63.1518194782922,67.9303123229159,66.9598055471839,67.251531861135,15.1097661345739,9.05551544857904,124.338033125057,46.0181854209216,61.8647845155424
57.6724241742251,15.2236466046043,53.5593334761631,54.5798577567062,55.0494986956366,55.1752314637087,124.338032555843,75.9031395843906,0,44.0222893539615,43.5287217559913,43.0733385795815,57.6498749398009,93.5443663881679,92.1723554253638,94.64121745934,80.4370144560804,124.338032499929,57.0142832578603,48.4176287944194,41.2634384613657,123.754122041625,103.459294359023,115.492536461976,114.614579521214,115.743088980448,115.977905744249,114.029736787069,101.136820857339,101.04885016039,13.2450582565864,96.781285221287,25.5439888677382,23.3624963393613,124.338032529245,124.338032498965,124.338032503615,124.338032528986,124.338032603337,124.3380325264,124.338032510862,124.338032605134,124.3380325345,124.33803259907,124.338032514306,113.79893917885,94.7545498645352,94.7483247752573,94.7545498671344,28.4200648625164,124.338032487957,51.4734514884059,113.541885054911,115.142059645697,32.5142576960451,94.7116282679054,94.7116282789638,94.7116283255405,94.7116282555748,94.7116282805959,90.4965875660905,90.286272876874,90.391803235801,26.6142923185557,94.0828369257797,94.5951200510088,53.0747476289612,55.5713347060765,94.7751829131198,111.410373900704,85.7344829138548,95.0914489938612,95.0108072898894,96.3842028901125,95.0108072307031,95.7327077883146,95.1210835385751,81.2701548258522,99.9726135389893,99.9726135700813,80.4767168415123,72.1733881276973,99.9726136000107,90.1212151638602,33.0467739850477,36.0215543411785,34.5140520063305,33.4678382956257,99.9726135873915,98.0248602236169,101.178773682798,58.1532526634085,72.493078046171,118.635785592601,122.239159015457,120.893623022312,120.852554483958,121.881004351764,124.338032620473,124.338032594606,132.862707993997,124.338032613544,124.338032628739,124.338032583531,45.140718323635,105.236813901368,106.631686004713,97.1020993889713,96.6233620784568,96.6443343547885,57.6448893794221,50.8906526681788,52.9305441608502,52.2126482880065,75.7566616143181,75.9031395615123,124.338032581394,67.5173037890986,57.8565139590687
43.9292919960306,44.7540929548691,36.318120784226,38.2321308942311,38.9781715591147,39.1947177601806,124.338032485837,69.3177802573794,44.0222893539615,0,9.18324408960147,13.5719481866293,43.5682144033287,92.5122544235191,91.115833947471,93.6091054946912,77.2250767250248,124.338032429923,41.9438776085128,61.389686747155,55.084663370223,123.810989238643,107.82944825428,117.272594519359,117.107264457825,117.353249847679,117.416631971486,116.838459416543,101.136820787332,101.048850090384,43.3207389183288,95.8696921408788,40.8819530133345,41.6687714436981,124.338032459239,124.338032428959,124.338032433609,124.33803245898,124.338032533331,124.338032456394,124.338032440856,124.338032535128,124.338032464494,124.338032529063,124.3380324443,116.7187832039,93.7224378998864,93.7162128106085,93.7224379024856,47.3106031278918,124.33803241795,63.9050067698516,116.714442992853,117.169546384021,35.3503317073481,93.6795163032566,93.679516314315,93.6795163608917,93.679516290926,93.679516315947,89.3987101235757,89.1883954343592,89.2939257932862,40.1649907790687,93.0507249611309,93.56300808636,65.2773190699406,67.572441375671,93.743070948471,114.940413830233,84.0637029417872,94.0819329446064,94.0012912406346,95.3746868408577,94.0012911814483,94.7231917390598,94.1115674893203,78.4875825513412,99.9497603629831,99.949760394075,88.5246549039309,65.2595534319347,99.9497604240045,89.0233377213454,34.7177810538287,31.6320432833754,33.1615621935247,34.3648216794377,99.9437123601073,97.4309188563161,101.178773612792,69.7362842142646,81.7092417855626,119.748381762319,122.746011690464,121.619899883338,121.578831344985,122.427284545732,124.338032550467,124.3380325246,132.862707923991,124.338032543538,124.338032558733,124.338032513525,16.8825979048868,109.312486464449,110.592722425162,96.3283672035123,95.613846029202,95.6348183055337,43.501168971122,31.7727813040129,35.3863203740167,33.9830564239153,69.0917802562609,69.2920870156711,124.338032511388,59.3645609887842,44.9077869237352
