"species","ebov_auc","bomv_auc","bdbv_auc","tafv_auc","restv_auc","sudv_auc","mlav_auc","llov_auc","marv_auc","ravn_auc","dehv_auc","orig_species","tree_match","order","family","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","female_relative_maturity","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","relative_age_first_birth","mass_specific_production_rate","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","disected_by_mountains","glaciation","habitat_breadth_n","foraging_aerial","foraging_arboreal","foraging_ground","foraging_marine","foraging_scansorial","island_mainland","island_marine","island_landbridge","island_endemic","bio_palearctic","bio_afrotropical","bio_antarctic","bio_australasian","bio_indomalayan","bio_nearctic","bio_neotropical","bio_oceanian","iucn_forest","iucn_savanna","iucn_shrubland","iucn_grassland","iucn_wetlands","iucn_rocky","iucn_caves","iucn_desert","iucn_marineneritic","iucn_marineoceanic","iucn_marinedeep","iucn_marineintertidal","iucn_marinecoastal","iucn_artificialterr","iucn_artificialaquatic","iucn_introducedveg","min_aridity_index","mean_aridity_index","perc80_aridity_index","relative_wing_loading","aspect_ratio","median_aggregation_size","migration","mixed_species_association_n","cave_roost","cavity_roost","foliage_roost","generalist_roost","iucn_moistforest","iucn_moistsavanna","pco_1","pco_2","pco_3","pco_4","pco_5","pco_6","pco_7","pco_8","pco_9","pco_10","pco_11","pco_12","pco_13","pco_14","pco_15","pco_16","pco_17"
"Hipposideros jonesi",233.1772199,188.0640471,172.188831,313.6591209,223.2436002,377.8420921,304.4366602,255.2393649,239.5247322,239.5531846,233.1296538,"Hipposideros jonesi","Hipposideros jonesi","Chiroptera","Hipposideridae",5.49,0.228,55.711,49.5,5771.166,NA,602.91,0.104469357,NA,712.313,99.97,NA,1.017,1.008,364.478,NA,61.85,NA,2281.28,0.123426185,NA,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,1400,0,1400,0,0,0,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.616086624,0.785394392,0.878527098,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,-73.81026478,9.168863329,13.68124549,19.03557123,-0.76016176,9.47823994,-13.89274071,-10.65738208,-4.708061563,-1.943629247,12.17174904,9.037375036,-4.743198128,7.558321177,-0.223742721,-0.231963601,-0.592096402
"Rhinolophus hipposideros",103.597296,53.7454011,70.56752155,189.1782763,54.53155979,240.0110346,40.00887429,201.3982439,139.6713003,140.0044822,124.7159135,"Rhinolophus hipposideros","Rhinolophus hipposideros","Chiroptera","Rhinolophidae",4.585,0.25,39.995,37.49,7738,447.26,473.63,0.061208323,471,501.87,71.255,NA,1,1,364.75,2.1,34.1,NA,2589.763,0.064857844,0.458015267,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,2000,0,2000,0,1,0,5,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.010938584,1.50067371,2.072976209,37.47618532,5.700000004,25.49999997,0,NA,0,0,0,1,0,0,-66.44336825,9.204841029,18.99936255,32.9158828,-4.735195775,-19.29871136,27.23403464,26.88542267,26.01579987,-14.57985193,13.08060759,3.613791355,2.568361565,2.012984994,0.403976444,-0.627992356,1.47843012
"Pteropus alecto",221.9131955,81.40707664,144.9598713,277.9474301,87.28473115,222.0545477,17.28749221,201.1624552,152.2496503,152.5545499,134.9680008,"Pteropus alecto","Pteropus alecto","Chiroptera","Pteropodidae",641.115,7.04,254.6,165.99,7190.5,NA,586.111,0.081511856,NA,751.93,162.162,NA,1.1,1,362.748,NA,89.17,NA,2592.524,0.1045727,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,1,0,0,0,1,1000,0,1000,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.026198272,0.86654542,1.07576872,NA,NA,NA,1,NA,0,0,1,0,1,0,-63.9411414,-1.894945361,-19.6818828,-39.9395717,3.707703712,0.00698744,2.793563322,4.927281917,2.418711826,3.205312462,-2.928968774,-1.8265163,-16.83405619,5.815400485,0.433078375,0.276873676,4.763381757
"Molossops temminckii",343.5371379,238.8251426,351.993579,292.103315,381.8357529,338.5574179,321.3424907,302.4678589,311.1587541,311.6030383,309.006133,"Molossops temminckii","Molossops temminckii","Chiroptera","Molossidae",5.86,0.181,43,28.49,5453.379,NA,479.645,0.087953726,NA,573.289,76.1,NA,0.99,1,362.939,1,38.5,NA,2115.265,0.105125464,0.16894198,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,NA,NA,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.295828455,0.805443393,1.308805882,51.96110315,7.706666667,NA,NA,NA,0,1,0,0,1,0,31.86001373,-13.93336962,29.29724921,-9.61267795,29.54104708,-14.80253555,-6.602534217,-7.646119337,9.834745616,2.834555938,-4.711474205,5.388173668,0.199246748,0.208258005,-8.103594116,-2.906195478,0.80592209
"Myotis lucifugus",246.5068099,83.91816646,148.5297948,270.3559849,202.5012448,375.6947025,167.2816395,213.1295183,207.8358184,207.8424982,196.9304635,"Myotis lucifugus","Myotis lucifugus","Chiroptera","Vespertilionidae",7.15,0.161,52.7,37.76,12410,280.6,245.3,0.019766317,210,730,57.395,NA,1,1,364.75,2.07,25.5,6.79,4117.2,0.058823529,0.28951049,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,NA,NA,0,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.06576453,1.007091816,1.508305241,39.02190619,5.999999995,605.9999998,1,NA,0,0,0,1,0,0,37.88327088,19.0373445,21.60100263,-13.91003252,-19.07964423,8.18141503,5.450364186,1.804002305,-6.23539215,-7.275945818,0.262759234,-3.020824806,-1.110861926,0.332675678,-7.824267412,-0.955007135,1.017746481
"Rousettus leschenaultii",249.9029003,192.8827976,197.0528307,303.2488131,309.9534907,399.872315,219.9813337,282.442091,273.0270968,273.104641,267.4932714,"Rousettus leschenaultii","Rousettus leschenaultii","Chiroptera","Pteropodidae",96.565,1.686,131.724,82.25,5110,322.24,236.12,0.046207436,455,278.81,118.33,NA,1.005,2,234.776,12,52.34,37,1679.855,0.054561644,0.249779941,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,60,40,0,0,2,1,1,0,0,0,1,1140,0,1140,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.050886091,1.339062906,1.921597729,53.0847255,5.999999995,1000.999999,1,NA,0,0,0,1,1,0,-42.31423008,-15.19930533,-26.23281908,-34.16936153,-4.951188358,-24.10950334,23.13412196,-6.821884647,-19.11831858,6.753096905,5.558086046,11.80805967,14.86412621,-4.7924146,-2.990095493,1.579033317,-9.049495712
"Uroderma bilobatum",189.0449668,191.879931,154.4315358,269.2254804,190.9955848,332.3564657,222.7953602,216.7921522,200.3006829,200.2941385,190.2424034,"Uroderma bilobatum","Uroderma bilobatum","Chiroptera","Phyllostomidae",16.24,0.53,69,42.03,6305.431,NA,289.007,0.045834615,NA,411.934,130.88,NA,1,2,218.211,NA,35.51,8.14,1905.883,0.065330031,NA,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,1,0,0,0,1,2600,0,2600,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244304699,1.460793808,1.837024482,40.59580274,6.299999993,30.49999998,NA,NA,0,0,1,0,1,1,22.87396608,-48.84583997,-0.486401306,8.298297516,12.58380533,14.46165248,6.209021819,8.461477182,-6.052807448,2.059241446,1.704132033,1.103551603,0.00519366,-1.061856176,1.03510043,-10.09825441,2.175317612
"Vampyriscus bidens",150.7770969,155.8675047,168.6708093,251.2867702,190.7456309,350.181965,164.7111726,209.6085055,170.9690557,171.0722414,157.3699354,"Vampyressa bidens","Vampyressa bidens","Chiroptera","Phyllostomidae",11.91,0.487,62,35.57,5749.193,NA,355.016,0.06175058,NA,483.409,115.893,NA,0.99,1.866,244.131,0.61,54.526,NA,2056.8,0.084082931,0.094616071,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,1,0,0,0,1,500,NA,NA,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864478645,1.989488363,2.841826575,43.807,6.384900004,NA,NA,NA,0,0,1,0,1,0,21.68667328,-50.26747121,-10.50564386,11.81197888,-9.866637937,12.57635056,-3.981775764,15.88412381,-1.930454189,10.23309487,-1.45174131,7.16257565,6.183267692,4.86686531,-3.444992102,3.722409046,5.287784467
"Phyllostomus hastatus",132.6190714,198.9153526,187.4697537,267.1902011,214.3719329,316.9661912,47.55248906,194.8487639,173.8705167,174.0114091,157.2445863,"Phyllostomus hastatus","Phyllostomus hastatus","Chiroptera","Phyllostomidae",82.6,1.532,128.5,83.27,6570,487.04,424.699,0.064642161,NA,550.348,120,NA,1,1,350.608,15.92,72.82,59.09,2034.894,0.083766819,0.192736077,NA,NA,0,2,NA,NA,40,50,10,40,0,50,0,0,0,10,0,0,0,2,3,1,0,0,0,1,NA,NA,NA,1,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.505135602,1.683180115,2.098527365,53.08102268,7.599999995,54.99999994,0,14.99999999,0,0,0,1,1,1,19.683525,-49.58420279,-17.94008855,11.99291269,-21.74362285,-4.489213623,-9.427991927,-4.223632938,8.212986631,-4.599509323,-1.942690547,-5.304628462,-7.953612515,-5.534581407,1.315056081,-3.367827936,-5.828132095
"Lissonycteris angolensis",281.5526366,166.8032159,288.0170592,343.4810277,305.8882235,328.6832572,235.7375591,297.2901219,275.430214,275.5199512,271.0241422,"Myonycteris angolensis","Myonycteris angolensis","Chiroptera","Pteropodidae",68.31,1.762,120.08,73.08,3157.25,NA,276.058,0.087436218,NA,374.103,121.66,NA,0.99,2,242.055,NA,82.951,NA,1404.814,0.118490142,NA,NA,NA,0,2,NA,1,0,0,100,0,0,0,0,0,0,60,40,0,0,2,1,1,0,0,0,1,4000,0,4000,0,1,0,5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0.548155281,1.06194851,1.2383254,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,-50.19904882,-11.54517924,-25.67180408,-37.24904585,-3.1529766,-21.1126041,22.15077249,-3.445136979,-16.33851552,6.977016033,5.426341534,12.00437674,6.459155763,-10.90340019,-2.395079055,2.131458907,-9.634114682
"Triaenops afer",283.0214244,238.0442497,290.9100759,369.9918126,312.161234,401.3616989,40.8542087,279.4276812,216.0456169,216.5196341,196.6625445,"Triaenops afer","Triaenops afer","Chiroptera","Hipposideridae",13.18,0.27,57,53,5583.609,NA,607.572,0.108813493,NA,728.187,106.59,NA,1.064,1.006,364.003,NA,70.749,NA,2314.088,0.130415113,NA,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,1,NA,0,NA,NA,NA,NA,2,1,0,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35428278,0.516584828,0.571875851,41.49339732,7.4,NA,NA,NA,NA,NA,NA,NA,1,1,-71.01154162,9.256855578,18.48702293,30.44061025,-3.449155899,-1.20234063,-1.082877196,-6.765003714,-9.287884056,6.036949493,-5.44952368,-1.340200102,-0.863270765,5.191142696,-0.319219603,-0.947666508,-13.44454218
"Myotis davidii",301.5068637,197.1626588,305.055162,332.7193901,345.7186262,384.6705505,245.1492387,294.5126609,270.2296852,270.3926195,264.1462316,"Myotis davidii","Myotis davidii","Chiroptera","Vespertilionidae",5.3,0.147,50,NA,8760,410.5,365,0.041666667,456,458.407,62.769,NA,1,1,364.75,NA,46.34,NA,2632.544,0.052329566,NA,NA,NA,1,2,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,0,0,1,NA,NA,NA,NA,NA,NA,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.030416338,0.436748156,0.532933087,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,36.90623863,23.6882072,12.68706752,-9.518872756,-17.52420172,12.55181916,12.42641452,-10.03220509,7.139451788,-0.077956037,-5.107116055,5.839377811,0.030631318,-0.263003189,-1.138498923,-1.297936274,-1.026212739
"Hypsignathus monstrosus",300.107367,163.2264367,261.1754519,328.5189253,307.4006711,374.2031092,254.2501883,302.4459439,275.430214,275.5199512,271.0241422,"Hypsignathus monstrosus","Hypsignathus monstrosus","Chiroptera","Pteropodidae",336.97,3.35,265.24,127.5,4462.125,227.99,227.99,0.05109449,NA,353.13,125.14,NA,1.4,2,240.491,39.3,97.458,163.92,1630.362,0.079139423,0.32655726,NA,NA,0,2,NA,NA,0,10,90,0,10,0,0,0,0,90,0,0,0,1,1,1,0,0,0,1,1800,NA,NA,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.653066915,1.429027692,1.871984611,48.20558231,6.700000005,NA,0,NA,0,0,1,0,1,1,-55.10002611,-9.15202893,-24.66382541,-38.83561895,-1.677568592,-17.18991599,19.43955612,-0.734201194,-12.90780346,6.749134937,5.504662473,11.58965729,-2.420483186,-12.54769331,-1.986235604,2.605343726,-6.957364582
"Neoromicia rendalli",226.1527902,105.9475545,177.5094261,272.9595727,226.1634974,309.6801684,116.0445856,257.9431495,208.0485299,208.0492244,197.126293,"Neoromicia rendalli","Neoromicia rendalli","Chiroptera","Vespertilionidae",6.42,0.243,63.826,34.5,3553.066,NA,356.529,0.100344041,NA,425.97,94.017,NA,1.658,1.035,361.551,NA,46.126,NA,1795.775,0.119888007,NA,NA,NA,1,2,NA,1,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,0,NA,NA,NA,NA,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296118213,0.525038311,0.583898745,NA,NA,NA,NA,NA,0,0,0,1,0,1,33.20417194,35.7594385,-27.26962417,12.41644509,8.584390106,0.237741175,1.269008835,-2.141655605,4.055926043,12.02154513,9.96936915,-8.904738638,0.590841389,-0.079997348,-2.572630079,-0.720366808,0.646301465
"Monophyllus redmani",91.07435906,135.652977,169.8390807,229.2830835,92.57089873,254.3956012,78.44836721,193.0316652,170.1765095,170.3042537,156.582352,"Monophyllus redmani","Monophyllus redmani","Chiroptera","Phyllostomidae",8.745,0.43,63.067,39.43,4566.211,NA,491.454,0.107628404,NA,604.814,119.381,NA,0.99,1.515,262.495,NA,59.433,NA,2123.282,0.132454238,NA,NA,NA,0,2,NA,NA,20,0,80,20,0,0,0,0,0,40,40,0,0,3,2,1,0,0,0,1,NA,NA,NA,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.523699549,1.207510845,1.570732869,50.87756768,NA,10.5,NA,4.999999999,1,0,0,0,0,0,19.21636579,-48.68763301,-18.7266817,11.38126126,-22.72820913,-8.39623672,-9.386197827,-8.258115499,8.32468464,-7.042295553,-1.079237021,-7.018422804,-7.442716498,-4.843353733,1.415969641,-3.482304022,-3.931543071
"Hipposideros ruber",225.5743117,113.1192254,181.3993536,309.5655472,216.8144499,393.1799012,92.40350845,239.1856859,199.4085915,199.661196,182.5901906,"Hipposideros ruber complex str2","Hipposideros ruber","Chiroptera","Hipposideridae",10.035,0.265,54.99,49.55,5670.861,656.14,581.78,0.102591123,730.5,688.32,106.54,NA,1,1,364.196,2.79,91.32,NA,2223.306,0.121378394,0.278026906,NA,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,2300,0,2300,NA,NA,NA,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.245779787,1.191921358,1.683873151,35.43480964,6.542857143,624.9999995,NA,1,1,0,0,0,1,0,-74.26470932,9.108294181,12.64484867,16.70398689,-0.285386934,10.65963471,-15.00337522,-10.30031005,-3.472213634,-2.947817133,13.09826289,9.165988202,-4.451356693,5.079603954,-0.173330466,0.147313703,3.179674172
"Centurio senex",76.97427026,113.4210383,113.9162837,243.0365164,101.6980817,314.9686338,90.29115677,151.8261925,169.7777384,169.9045892,156.1589401,"Centurio senex","Centurio senex","Chiroptera","Phyllostomidae",23.09,0.688,68,44,5883.757,NA,370.66,0.062997163,NA,495.951,115.425,NA,0.995,1.858,240.505,NA,51.375,NA,2079.503,0.08429155,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,1,0,0,0,1,1400,NA,NA,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.262270595,1.11286117,1.424137458,NA,NA,2.000000002,NA,NA,0,1,0,0,1,0,21.51847605,-50.21282551,-11.20171214,12.09020744,-10.87731569,12.35102506,-4.618373224,15.97842306,-0.967487002,11.01753699,-2.136894215,8.036627004,6.388886731,5.058688375,-4.353282741,5.842765686,4.579710946
"Pipistrellus nanulus",209.7570427,88.47858089,169.8395249,265.965516,196.2744104,321.0010521,165.566441,231.7641284,208.0485299,208.0492244,197.126293,"Pipistrellus nanulus","Pipistrellus nanulus","Chiroptera","Vespertilionidae",2.51,0.153,58.578,28,1907.921,NA,262.829,0.137756752,NA,347.707,73.338,NA,1.96,1.361,337.435,NA,44.801,NA,1470.606,0.182243919,NA,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,0,NA,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.366414852,0.820491968,1.068972747,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,32.27725726,36.1177242,-30.39004163,15.06459218,11.08398554,-3.055986617,-4.489062462,4.57943847,-5.826808615,-11.37507271,-8.210429993,6.981031408,-0.663717318,0.19904335,1.949451006,0.639364563,-0.016626932
"Epomops buettikoferi",281.024621,232.1606939,317.7538786,338.6707186,301.5722405,328.8006555,284.51227,300.9326523,275.430214,275.5199512,271.0241422,"Epomops buettikoferi","Epomops buettikoferi","Chiroptera","Pteropodidae",135.67,2.539,180,90.16,790.833,275.89,275.89,0.34886,NA,365,139.92,NA,0.98,2,240.844,23.23,55.65,47.26,1330.732,0.461538656,0.335599617,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,1,0,0,0,1,1200,0,1200,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.99835677,1.665111927,2.220547703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,-55.7379886,-8.84098389,-24.54686267,-39.04802649,-1.432209494,-16.41842966,18.84337773,-0.18919473,-12.10042543,6.698555377,5.334958714,11.30539158,-4.335917987,-12.46772401,-1.872286398,2.646745522,-6.20132552
"Miniopterus nimbae",179.4804907,79.83219515,105.4966908,260.7779412,98.27649874,264.7942453,22.9260024,185.6422766,157.9884534,158.1727784,143.383633,"Miniopterus nimbae","Miniopterus nimbae","Chiroptera","Miniopteridae",9.7,NA,113,47.4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,1000,500,500,0,NA,NA,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glauconycteris poensis",239.167406,145.1247276,223.733507,294.0667458,130.9844207,330.2961005,160.420529,274.0952809,210.204382,210.2058807,199.6951561,"Glauconycteris poensis","Glauconycteris poensis","Chiroptera","Vespertilionidae",6.91,0.205,63.564,37.5,3636.157,NA,346.365,0.095255788,NA,406.184,76.099,NA,1.734,1.045,362.237,NA,40.363,NA,1642.426,0.111706948,NA,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,0,NA,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946298839,1.555734402,2.018977177,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,35.72614497,24.83970269,5.276028996,-5.371130468,-13.95303744,13.08469403,13.86593466,-14.22195992,14.20225271,8.122032385,-4.561135788,8.213318929,1.732756997,0.286774384,12.39151448,2.474930561,-0.079497484
"Carollia sowelli",157.8021265,153.9354788,163.5732067,235.5669615,113.5045071,301.7757756,180.5572524,223.8670685,192.5175475,192.5131055,182.1835596,"Carollia sowelli","Carollia sowelli","Chiroptera","Phyllostomidae",16.5,0.528,70,40.26,5401.267,NA,374.724,0.069377055,NA,497.208,114.251,NA,0.98,1.757,232.652,NA,57.757,NA,2066.746,0.092053957,NA,NA,NA,0,2,NA,NA,20,0,80,0,0,0,0,0,0,100,0,0,0,1,2,1,0,0,0,1,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.541043635,1.6321688,2.003352159,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,20.25070157,-50.20865758,-16.48598948,12.65884758,-19.84652663,2.045796577,-9.095559216,3.797899053,7.11049684,1.947723215,-3.64574176,0.603170638,-4.845866508,-4.521446793,-1.457697487,1.44924957,-7.709033914
"Mormoops blainvillei",271.5069742,215.370805,333.2365403,297.790919,190.0121026,291.4532224,205.8556869,284.8068594,252.3766521,252.4922967,248.7566655,"Mormoops blainvillii","Mormoops blainvillei","Chiroptera","Mormoopidae",10.345,0.326,63.748,46.5,5376.244,NA,518.183,0.096383832,NA,639.782,115.049,NA,1,1,360.978,NA,68.197,NA,2100.748,0.119001667,NA,NA,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,NA,NA,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.00516996,1.470368489,1.678370595,26.53457132,6.340000002,NA,NA,NA,1,0,0,0,0,0,11.41134424,-41.45370299,-21.63724187,0.464240182,-20.24199559,-21.58749381,1.178390745,-19.14759413,-2.992314702,-8.500991775,3.165681435,-4.980308672,8.196329373,10.55064707,2.705550351,-1.366949393,11.53743525
"Pteronotus rubiginosus",97.52382567,138.9326319,188.5868267,176.6181748,93.92562239,266.9254723,330.3057685,211.0673456,210.291403,210.2230978,209.9641893,"Pteronotus rubiginosus","Pteronotus parnellii","Chiroptera","Mormoopidae",19.395,0.532,68.5,60.09,5193.601,NA,509.676,0.098135379,NA,640.373,107.97,NA,0.995,1,360.787,NA,76.1,NA,2089.985,0.123300384,NA,NA,NA,0,2,NA,NA,99,0,1,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,2200,65,2135,NA,NA,NA,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631473865,1.593643346,2.461707633,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,8.448393025,-39.91199438,-22.30673222,-2.08132163,-19.46571397,-23.06297098,3.294621635,-19.73278445,-5.257527118,-7.804998808,3.295893232,-4.355395833,11.45107937,13.30548438,2.589103085,-2.01646324,12.93941541
"Cynopterus sphinx",304.7549808,239.0010998,260.5249713,313.6365461,338.221287,315.8235407,247.8420927,319.7636361,276.1580853,276.2463184,271.1571379,"Cynopterus sphinx","Cynopterus sphinx","Chiroptera","Pteropodidae",37.4,1.061,112.995,71,3686.5,312.99,251.71,0.068278855,525,319.37,120,NA,1.1,2,224.836,11,42,25,1285.253,0.086632307,0.647058824,NA,NA,0,2,NA,1,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,1,0,0,0,1,400,0,400,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.388383563,1.628902836,1.741850899,45.05834467,6.700000005,2.000000002,0,NA,0,0,0,1,1,0,-72.40461383,5.465922457,-7.119650323,-21.55501246,4.994239287,10.81479304,-10.26481155,0.887604717,6.725540354,-6.213136849,-0.111939413,-3.460147287,16.59815976,-13.22213245,-0.176294972,0.294315905,-0.310609694
"Carollia brevicauda",175.1453565,172.5656527,149.6253176,227.7169695,112.4579358,305.0938904,148.306064,190.940429,192.5175475,192.5131055,182.1835596,"Carollia brevicauda","Carollia brevicauda","Chiroptera","Phyllostomidae",14.85,0.551,70,40.26,5397.685,NA,415.332,0.076946321,NA,536.402,114.949,NA,0.98,1.724,234.833,NA,61.246,NA,2093.991,0.099376307,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,2,1,0,0,0,1,NA,NA,NA,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25527192,1.658083401,2.079458689,49.52089301,5.499999994,NA,NA,NA,0,1,0,0,1,1,20.30325421,-50.22711872,-16.3280168,12.73458172,-19.56922806,2.715046151,-8.971698618,4.615039579,6.84813088,2.695685789,-3.72048581,1.264798498,-4.138005939,-4.085316039,-1.794176447,2.014232324,-7.481774957
