"","order","family","binomial","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n","foraging_aerial","foraging_arboreal","foraging_ground","foraging_marine","foraging_scansorial","island_mainland","island_marine","island_landbridge","island_endemic","bio_palearctic","bio_afrotropical","bio_antarctic","bio_australasian","bio_indomalayan","bio_nearctic","bio_neotropical","bio_oceanian","iucn_forest","iucn_savanna","iucn_shrubland","iucn_grassland","iucn_wetlands","iucn_rocky","iucn_caves","iucn_desert","iucn_marineneritic","iucn_marineoceanic","iucn_marinedeep","iucn_marineintertidal","iucn_marinecoastal","iucn_artificialterr","iucn_artificialaquatic","iucn_introducedveg","tree_match","gbif_match","iucn_moistforest","iucn_moistsavanna","relative_wing_loading","aspect_ratio","forearm_mm","median_aggregation_size","migration","mixed_species_association_n","cave_roost","cavity_roost","foliage_roost","generalist_roost","min_aridity_index","mean_aridity_index","perc80_aridity_index","pco_1","pco_2","pco_3","pco_4","pco_5","pco_6","pco_7","pco_8","pco_9","pco_10","pco_11","pco_12","pco_13","pco_14","pco_15","pco_16","pco_17"
"5295","Chiroptera","Natalidae","Chilonatalus macer",3,0.296,58.062,33.5,5656.853,NA,455.21,NA,568.165,131.135,NA,1,1.072,359.593,NA,64.532,NA,2049.918,NA,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,230,0,230,NA,NA,NA,NA,"Neotropical",1,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chilonatalus micropus","Chilonatalus macer",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7000062412923,-27.5101333491254,18.3507274808819,-1.31644920110702,32.8364274504203,2.62669776073517,6.75046774508767,-7.77961175596878,0.890126287578071,-7.1574120603726,0.102185526616447,-6.50719953505485,-1.90221938036175,0.769218555178735,0.970752051329431,16.8092456395654,-1.38990632481907
"5296","Chiroptera","Natalidae","Chilonatalus micropus",3,0.205,56.565,33.5,5586.845,NA,453.259,NA,561.86,130.005,NA,1,1.077,359.939,NA,64.311,NA,2030.078,NA,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,400,0,400,1,"Occurs only on isolated islands",1,0,"Neotropical",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Chilonatalus micropus","Chilonatalus micropus",0,0,NA,NA,33.5,NA,NA,NA,NA,NA,NA,NA,1.17554986666271,1.38741996925012,1.39610882524743,28.7000062412923,-27.5101333491254,18.3507274808819,-1.31644920110702,32.8364274504203,2.62669776073517,6.75046774508767,-7.77961175596878,0.890126287578071,-7.1574120603726,0.102185526616447,-6.50719953505485,-1.90221938036175,0.769218555178735,0.970752051329431,16.8092456395654,-1.38990632481907
"5297","Chiroptera","Natalidae","Chilonatalus tumidifrons",3.62,0.721,67.793,32.99,4729.556,NA,374.919,NA,460.502,130.782,NA,1.017,1.135,351.666,NA,67.733,NA,1793.787,NA,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,NA,NA,0,"Occurs only on isolated islands",0,0,"Neotropical",2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Chilonatalus tumidifrons","Chilonatalus tumidifrons",0,0,NA,NA,32.99000003,NA,NA,NA,NA,NA,NA,NA,1.16337310978782,1.16337310978782,1.16337310978782,28.4663366975916,-28.1627536095484,17.9401273374108,-1.04921544822488,32.7403827082423,3.0357592197495,7.00990378623154,-7.70839827607334,0.517075284216,-7.28526601196671,0.301436137113631,-6.81755222952522,-1.88064798325882,0.784680822271781,1.3981799547765,16.4622709300427,-1.27328034791745
"5047","Chiroptera","Phyllostomidae","Chiroderma doriae",19.9,0.646,73.138,52.5,5815.533,NA,407.252,NA,533.802,106.45,NA,1,1.809,242.485,NA,51.75,NA,2094.785,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,0,"Occurs on mainland",1,0,"Neotropical",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Chiroderma doriae","Chiroderma doriae",1,0,54.3772351,7.599999995,52.52499999,NA,NA,NA,NA,NA,NA,NA,0.870477938039257,1.25049079569989,1.22868015764884,21.7578773540934,-50.2437713549253,-10.1807385533682,11.7592498297295,-9.36151498528019,12.7392297106054,-3.69530289857124,15.8360028753194,-2.33584130053313,9.89581653660574,-1.12685362390184,6.79742235882446,6.13900819314244,4.65799541463896,-2.91815393897472,2.76090894992787,5.49616722624987
"5049","Chiroptera","Phyllostomidae","Chiroderma improvisum",35.39,0.963,80.473,57.5,5685.051,NA,451.737,NA,570.349,121.552,NA,0.991,1.686,246.407,NA,57.356,NA,2148.821,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,1,"Occurs only on isolated islands",0,0,"Neotropical",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chiroderma improvisum","Chiroderma improvisum",1,0,NA,NA,57.39999995,NA,NA,NA,NA,NA,NA,NA,0.803774040269912,0.821336253788761,0.831873581900071,21.7885182141127,-50.2486581975698,-10.0400296598633,11.7021840348488,-9.13090484570994,12.7997698062454,-3.52435151933535,15.7867991110848,-2.55818648789784,9.69116196816893,-0.960588813091062,6.57171572457561,6.06679638918093,4.58067424065022,-2.64544602975612,2.22797493523391,5.62405205806
"5050","Chiroptera","Phyllostomidae","Chiroderma salvini",26.3,0.787,87,47.5,5747.088,NA,371.443,NA,495.238,116.726,NA,0.99,1.813,242.496,NA,53.354,NA,2090.563,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,0,"Occurs on mainland",1,0,"Neotropical",2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chiroderma salvini","Chiroderma salvini",1,1,NA,NA,49.14999998,NA,NA,NA,NA,NA,NA,NA,0.393529518646565,1.31761932229245,1.80279461015224,21.7947449092117,-50.2462017165799,-9.97105613008446,11.6887332762527,-8.92297022989215,12.9122474722512,-3.37073829489688,15.7767263371966,-2.69144531555129,9.59058191733849,-0.863131113165822,6.44995253444072,5.9940408003317,4.50878860820303,-2.41860603117863,1.89531053826814,5.67164832630139
"5052","Chiroptera","Phyllostomidae","Chiroderma trinitatum",13.91,0.537,70,36.38,5771.293,NA,376.183,NA,498.997,114.695,NA,0.98,1.852,241.171,NA,52.354,NA,2069.789,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1000,NA,NA,0,"Occurs on mainland",1,0,"Neotropical",2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Chiroderma trinitatum","Chiroderma trinitatum",1,0,37.4553,6.340999997,38.12499997,NA,NA,NA,NA,NA,NA,NA,0.675874873027503,1.62719245711964,1.90999113554295,21.7542247689707,-50.2525001079341,-10.2202665349027,11.7745688636097,-9.45565420154113,12.6997008215132,-3.78026580901939,15.8585599762563,-2.24313602362518,9.97629888184776,-1.20019063260078,6.89008898217998,6.17417295511157,4.69941175557822,-3.07078410353049,3.02156179652803,5.44971760817845
"5053","Chiroptera","Phyllostomidae","Chiroderma villosum",23.81,0.706,71.495,45.51,5636.694,NA,410.339,NA,532.274,121.66,NA,0.99,1.725,243.625,NA,53.849,NA,2132.481,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,600,NA,NA,0,"Occurs on mainland",1,0,"Neotropical",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chiroderma villosum","Chiroderma villosum",1,0,49.30029768,6.4,44.96666667,NA,NA,NA,NA,NA,NA,NA,0.38138117893987,1.52853532675022,1.88892023606172,21.7729377626025,-50.2458571469293,-10.1163480713508,11.7310739973229,-9.26985459252902,12.7517584385057,-3.62935120729944,15.8077031073314,-2.43065027827245,9.79866482693086,-1.05396165075186,6.69222960132387,6.1094285688281,4.62999430044845,-2.81220925926884,2.53533490301365,5.56489452609114
"6693","Chiroptera","Phyllostomidae","Chiroderma vizzotoi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Chiroderma doriae",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.870477938039257,1.25049079569989,1.22868015764884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4387","Chiroptera","Pteropodidae","Chironax melanocephalus",17.7,0.612,70,45.5,3642.261,NA,321.926,NA,455.882,126.996,NA,0.98,1.812,247.762,NA,64.13,NA,1597.163,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,1,"Occurs on mainland",0,0,"Australasian, Indomalayan",2,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Chironax melanocephalus","Chironax melanocephalus",1,0,42.0324,5.986500002,44.5,4.999999996,NA,NA,0,0,1,0,1.58150234153888,2.0299554419641,2.34734536974824,-74.3599733121483,8.18852386442532,6.09632296185026,3.26504406931537,2.08474005330076,13.8407188354034,-16.7623975741135,-6.99455400325158,0.807222261401831,-4.48252706363908,8.83703921326857,4.58836744158669,2.04063421254978,-12.1370800625966,-0.330497052574279,1.85695014548321,9.00796053261565
