"","x","y","EBOV","BOMV","BDBV","TAFV","RESTV","SUDV","MARV","RAVV","LLOV","MLAV","DEHV"
"4884",23.5,70.50107421875,0.0101757002994418,-0.0115928901359439,-0.0134313656017184,-0.01204271055758,0.00905781425535679,0.00251408712938428,-0.00947846379131079,-0.00908927898854017,0.0190214347094297,-0.0017723961500451,-0.00423143990337849
"4885",24.5,70.50107421875,0.0101757002994418,-0.0115928901359439,-0.0134313656017184,-0.01204271055758,0.00905781425535679,0.00251408712938428,-0.00947846379131079,-0.00908927898854017,0.0190214347094297,-0.0017723961500451,-0.00423143990337849
"4887",26.5,70.50107421875,0.0101757002994418,-0.0115928901359439,-0.0134313656017184,-0.01204271055758,0.00905781425535679,0.00251408712938428,-0.00947846379131079,-0.00908927898854017,0.0190214347094297,-0.0017723961500451,-0.00423143990337849
"4888",27.5,70.50107421875,0.0101757002994418,-0.0115928901359439,-0.0134313656017184,-0.01204271055758,0.00905781425535679,0.00251408712938428,-0.00947846379131079,-0.00908927898854017,0.0190214347094297,-0.0017723961500451,-0.00423143990337849
"4890",29.5,70.50107421875,0.0101757002994418,-0.0115928901359439,-0.0134313656017184,-0.01204271055758,0.00905781425535679,0.00251408712938428,-0.00947846379131079,-0.00908927898854017,0.0190214347094297,-0.0017723961500451,-0.00423143990337849
"4891",30.5,70.50107421875,0.0101757002994418,-0.0115928901359439,-0.0134313656017184,-0.01204271055758,0.00905781425535679,0.00251408712938428,-0.00947846379131079,-0.00908927898854017,0.0190214347094297,-0.0017723961500451,-0.00423143990337849
"5239",18.5,69.50107421875,0.0101757002994418,-0.0115928901359439,-0.0134313656017184,-0.01204271055758,0.00905781425535679,0.00251408712938428,-0.00947846379131079,-0.00908927898854017,0.0190214347094297,-0.0017723961500451,-0.00423143990337849
"5240",19.5,69.50107421875,0.0101757002994418,-0.0115928901359439,-0.0134313656017184,-0.01204271055758,0.00905781425535679,0.00251408712938428,-0.00947846379131079,-0.00908927898854017,0.0190214347094297,-0.0017723961500451,-0.00423143990337849
"5241",20.5,69.50107421875,0.0101757002994418,-0.0115928901359439,-0.0134313656017184,-0.01204271055758,0.00905781425535679,0.00251408712938428,-0.00947846379131079,-0.00908927898854017,0.0190214347094297,-0.0017723961500451,-0.00423143990337849
"5242",21.5,69.50107421875,0.0101757002994418,-0.0115928901359439,-0.0134313656017184,-0.01204271055758,0.00905781425535679,0.00251408712938428,-0.00947846379131079,-0.00908927898854017,0.0190214347094297,-0.0017723961500451,-0.00423143990337849
"5243",22.5,69.50107421875,0.0101757002994418,-0.0115928901359439,-0.0134313656017184,-0.01204271055758,0.00905781425535679,0.00251408712938428,-0.00947846379131079,-0.00908927898854017,0.0190214347094297,-0.0017723961500451,-0.00423143990337849
"5244",23.5,69.50107421875,0.0101757002994418,-0.0115928901359439,-0.0134313656017184,-0.01204271055758,0.00905781425535679,0.00251408712938428,-0.00947846379131079,-0.00908927898854017,0.0190214347094297,-0.0017723961500451,-0.00423143990337849
"5245",24.5,69.50107421875,0.0101757002994418,-0.0115928901359439,-0.0134313656017184,-0.01204271055758,0.00905781425535679,0.00251408712938428,-0.00947846379131079,-0.00908927898854017,0.0190214347094297,-0.0017723961500451,-0.00423143990337849
"5246",25.5,69.50107421875,0.0101757002994418,-0.0115928901359439,-0.0134313656017184,-0.01204271055758,0.00905781425535679,0.00251408712938428,-0.00947846379131079,-0.00908927898854017,0.0190214347094297,-0.0017723961500451,-0.00423143990337849
"5247",26.5,69.50107421875,0.0101757002994418,-0.0115928901359439,-0.0134313656017184,-0.01204271055758,0.00905781425535679,0.00251408712938428,-0.00947846379131079,-0.00908927898854017,0.0190214347094297,-0.0017723961500451,-0.00423143990337849
"5248",27.5,69.50107421875,0.0101757002994418,-0.0115928901359439,-0.0134313656017184,-0.01204271055758,0.00905781425535679,0.00251408712938428,-0.00947846379131079,-0.00908927898854017,0.0190214347094297,-0.0017723961500451,-0.00423143990337849
"5249",28.5,69.50107421875,0.0101757002994418,-0.0115928901359439,-0.0134313656017184,-0.01204271055758,0.00905781425535679,0.00251408712938428,-0.00947846379131079,-0.00908927898854017,0.0190214347094297,-0.0017723961500451,-0.00423143990337849
