"species","ebov_auc","bomv_auc","bdbv_auc","tafv_auc","restv_auc","sudv_auc","mlav_auc","llov_auc","marv_auc","ravn_auc","orig_species","tree_match","order","family","log_adult_mass_g","log_brain_mass_g","log_adult_body_length_mm","log_adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","log_litter_size_n","litters_per_year_n","interbirth_interval_d","log_neonate_mass_g","log_weaning_age_d","log_weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","upper_elevation_m","log_lower_elevation_m","altitude_breadth_m","island_dwelling","disected_by_mountains","glaciation","habitat_breadth_n","foraging_aerial","foraging_arboreal","foraging_ground","foraging_marine","foraging_scansorial","island_mainland","island_marine","island_landbridge","island_endemic","bio_palearctic","bio_afrotropical","bio_antarctic","bio_australasian","bio_indomalayan","bio_nearctic","bio_neotropical","bio_oceanian","iucn_forest","iucn_savanna","iucn_shrubland","iucn_grassland","iucn_wetlands","iucn_rocky","iucn_caves","iucn_desert","iucn_marineneritic","iucn_marineoceanic","iucn_marinedeep","iucn_marineintertidal","iucn_marinecoastal","iucn_artificialterr","iucn_artificialaquatic","iucn_introducedveg","min_aridity_index","mean_aridity_index","perc80_aridity_index","relative_wing_loading","aspect_ratio","log_median_aggregation_size","migration","log_mixed_species_association_n","cave_roost","cavity_roost","foliage_roost","generalist_roost","iucn_moistforest","iucn_moistsavanna","pco_1","pco_2","pco_3","pco_4","pco_5","pco_6","pco_7","pco_8","pco_9","pco_10","pco_11","pco_12","pco_13","pco_14","pco_15","pco_16","pco_17","log_relative_age_first_birth","log_female_relative_maturity","postnatal_growth_rate","mass_specific_production_rate"
"Sturnira luisi",149.988058494042,163.640879061989,154.537238723156,246.849556366237,135.286234884433,377.065081021562,178.045985904088,146.882098972091,186.375588057565,186.422878182671,"Sturnira luisi","Sturnira luisi","Chiroptera","Phyllostomidae",2.48407296903942,-0.541284831250699,4.30406509320417,3.76120011569356,5508.243,NA,458.975,NA,575.809,119.232,NA,-0.0100503358535015,1.588,249.475,NA,4.29376902691572,NA,2141.067,NA,NA,"0","2",NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,"1","1","0","0","0","1",1930,3.69137633431252,1890,"0","1","0",1,"0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.278874979201121,1.35593666321488,2.31473560664362,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0",20.7200109587031,-50.3569504830903,-14.4997373380971,12.8476695117255,-16.2287030808494,8.5089398014064,-7.47598175777034,12.4088195552142,3.44313091418108,9.27384050363275,-4.0996402885423,7.35655953750115,2.20718768854152,1.31160694319762,-4.89750051842834,7.3287112350308,-2.00942601174585,-2.2582249680393,-2.48500523417618,NA,NA
"Mormoops megalophylla",140.241874453045,154.648898914249,144.308189632676,268.872937264589,190.698443127013,374.12253705224,102.74222290817,170.904415881457,201.90188523091,201.9310565038,"Mormoops megalophylla","Mormoops megalophylla","Chiroptera","Mormoopidae",2.77539727456182,-0.867500567704723,4.26787761298298,4.00715135051972,2728.027,NA,343.295,NA,404.86,103.244,NA,0,1,352.592,-0.0943106794712413,4.09539401135767,NA,1423.5,NA,NA,"0","2",NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",3000,NA,NA,"0","1","0",2,"1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0.0726226256774352,0.733160025108994,0.952071868960445,43.5580453,7.100000005,13.1223633766043,"1",1.96009478398888,"1","0","0","0","1","0",10.056630327556,-40.7370106218241,-22.0758306005219,-0.975767648805426,-19.7147359088735,-22.2576939228545,2.20714305842805,-19.3919377750501,-4.10995906866284,-8.0940362148294,3.04610698091755,-4.76135821766072,9.87960167672451,11.9399251532755,2.61280974849802,-1.73901912226897,12.1976118991622,-1.90779258794165,-2.07274378043832,NA,0.0567154876908694
"Sturnira lilium",189.431296939414,168.690087969947,197.270732297769,271.291093697431,135.396168366894,376.053964828036,161.105802691045,191.808113266881,186.375588057565,186.422878182671,"Sturnira lilium","Sturnira lilium","Chiroptera","Phyllostomidae",2.99573227355399,-0.653926467406664,4.1890484976914,3.70130197411249,7300,289.18,289.18,289.18,404.045,114.865,NA,0,2,233.937,1.65345479785087,4.47163879336357,NA,1905.642,NA,NA,"0","2",NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,"1","1","0","0","0","1",1600,NA,NA,"0","1","0",1,"0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.149646177948964,1.31335419787587,1.67077457999344,49.46857623,6.500000005,NA,"0",NA,"0","0","0","1","1","0",20.7587842549787,-50.3367147566073,-14.2481614947526,12.7889720780371,-15.7486307583147,9.029567863562,-7.20806666007863,13.0832739365671,2.97129067625928,9.77264517969716,-4.02025245120653,7.82415940391901,2.73466354932921,1.78675348268396,-5.06265304706415,7.6139173946255,-1.30873111594219,-2.89410336923969,-3.2285802955365,NA,0.5225
"Artibeus concolor",36.648533052179,120.625135332562,107.139158455279,183.94139261118,81.0555143917045,193.173830683019,68.4051049748242,188.927126917755,169.777738366278,169.904589197503,"Artibeus concolor","Artibeus concolor","Chiroptera","Phyllostomidae",2.97934879430347,-0.457284856837961,4.27225362046945,3.85735560408584,5840.654,NA,352.735,NA,481.318,114.131,NA,-0.0110609473594249,1.89,238.343,NA,3.82537519870247,NA,2064.512,NA,NA,"0","2",NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,"1","1","0","0","0","1",1000,NA,NA,"0","0","0",1,"0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.918242582353351,1.70002947756224,2.0199560387355,35.7805,6.46,NA,NA,NA,NA,NA,NA,NA,"1","0",20.9076370506527,-50.2387218533343,-13.8708560341605,12.856785352045,-15.311474687862,9.6768537013175,-7.07825318160856,13.5582375089603,2.82550942674648,10.2437932038,-3.86805251877672,7.87051330212831,3.45837761635014,2.19258507522684,-5.14552648566421,7.70806668177149,-0.83272041735254,-2.49606988153207,-2.80688098905816,NA,NA
"Phyllostomus elongatus",222.027266640537,194.81746472653,227.485078940816,296.040318904497,203.359532427839,394.748706339651,152.403403086945,240.655111093627,192.848610197565,192.847308762877,"Phyllostomus elongatus","Phyllostomus elongatus","Chiroptera","Phyllostomidae",3.57234563785798,-0.122167633974208,4.48292345284043,4.18965474202643,5214.054,NA,387.145,NA,501.504,121.66,NA,-0.0151136378100482,1.709,247.47,NA,4.45243849891425,NA,2043.283,NA,NA,"0","2",NA,NA,70,10,20,70,0,10,0,0,0,10,10,0,0,1,"2","1","0","0","0","1",NA,NA,NA,"0","1","0",2,"0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0.541748155381944,1.85756570524177,2.55025910024475,34.0339,6.607999995,NA,NA,NA,"0","0","0","1","1","0",19.7385479269482,-49.6518834270826,-17.8147011839452,12.0222841802872,-21.6357927102488,-3.96234374851467,-9.4426168900047,-3.55845805147317,8.21516954908027,-4.06517919008024,-2.13581621936519,-4.83341737071398,-7.96848461575046,-5.61184090001605,1.08971835028561,-2.91997678159973,-6.18368098766627,-2.34150136772973,-2.60031365131323,NA,NA
"Molossus rufus",312.644851207989,236.397425289536,351.559577328804,339.996141037629,388.870518372836,293.929780685161,346.904654282378,332.373256360184,309.310594453446,309.706622556174,"Molossus rufus","Molossus rufus","Chiroptera","Molossidae",3.2188758248682,-0.707246104939447,4.53796143629464,NA,3191.61,NA,322.946,NA,386.512,91.509,NA,0.0109399400383343,1.145,349.301,NA,3.96556377235618,NA,1498.731,NA,NA,"1","2",NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",NA,NA,NA,NA,NA,NA,2,"1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0",0.241667209296482,1.12885923849628,1.51769316401204,76.51745,11.1,5.57972982598622,NA,NA,"0","0","0","1","1","0",31.8013798611475,-14.4147056244123,28.9704715035746,-9.27322492347254,30.2419971591564,-14.1059087722206,-5.91369140621074,-7.8697151303334,9.60443873625799,2.25890033825942,-4.62001092794978,4.86327310132178,0.130098287826159,0.42285800123867,-8.05406586152181,-0.554061332688053,0.727721115104128,-2.11111785524297,-2.29079564407039,NA,NA
"Erophylla bombifrons",130.273441444269,145.991393443496,142.252078755146,268.904560394701,106.017379817222,397.775852634499,112.998555165545,184.793448360527,175.49222408137,175.576539061846,"Erophylla bombifrons","Erophylla bombifrons","Chiroptera","Phyllostomidae",2.77881927199042,-0.551647618286246,4.31947280939055,3.85248529271195,4540.443,NA,499.464,NA,634.855,136.98,NA,0,1,345.228,1.50407739677627,4.10890471355343,NA,2118.557,NA,NA,"0","2",NA,NA,40,0,60,40,0,0,0,0,0,30,30,0,0,3,"2","1","0","0","0","1",NA,NA,NA,"1","1","0",1,"0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0.531798648605955,1.08405943254088,1.36439101308103,37.74412858,6.230000005,NA,NA,NA,NA,NA,NA,NA,"0","0",18.8277331256132,-47.9900243316929,-19.3511307213666,10.579735580851,-23.4320958891289,-11.5691624605216,-8.71536112371345,-11.2420514523856,7.69289858035213,-8.25881390776122,-0.187952064072736,-7.23208379070939,-6.13249381344234,-4.18064637384668,1.15818111109254,-2.09166191951639,-2.45278617800809,-1.96738323700659,-2.20724433994835,NA,0.279503105590062
"Macrotus waterhousii",173.830164144961,143.440754876082,151.182594894439,285.967683512025,124.851165256979,269.90927563328,121.007530615048,179.79012796699,170.163431732836,170.291175914133,"Macrotus waterhousii","Macrotus waterhousii","Chiroptera","Phyllostomidae",2.78099082550393,2.1567497447705,4.13804241748782,3.94429656597844,3802.083,91.32,91.32,NA,334.84,243.52,NA,0,1.895,226.195,-0.527632742082372,3.41575753299349,NA,1529.276,NA,NA,"0","2",NA,NA,50,0,50,50,0,0,0,0,0,50,0,0,0,2,"2","1","0","0","0","1",1400,NA,NA,"0","1","0",2,"0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0",0.117401943346125,0.732316262249037,1.03559703653173,34.46791329,8.999999991,5.70378247532287,NA,1.62924053945758,"0","0","0","1","0","0",12.5300154976334,-41.8209760850702,-21.2926449044825,1.43861466649683,-20.5311291193068,-21.1151699321322,0.391397006958539,-19.0491124743976,-2.19906688371279,-8.77038876594663,3.14553487508394,-5.19632750957951,7.02574219180581,9.44213317649115,2.76224278156728,-1.21282588136108,11.0606867412201,-2.4296515476337,-3.72893453176396,NA,0.0692934614192749
"Pipistrellus coromandra",37.4292084559682,33.0572307394495,10.38733397135,42.9891624900347,11.1078595535296,34.4293479252612,12.7458484278314,50.0118163448033,66.3702162826193,66.3688459292944,"Pipistrellus coromandra","Pipistrellus coromandra","Chiroptera","Vespertilionidae",1.52388002407245,-2.25379492882461,4.01087236947031,3.41772668361337,1282.492,NA,215.601,NA,316.06,80.334,NA,0.336472236621213,1.536,322.176,NA,3.80857177703194,NA,1361.772,NA,NA,"1","2",NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",2769,4.60616968632117,2669,NA,NA,NA,3,"1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0",0.40464792810291,1.50399680671994,1.55863800400423,NA,NA,NA,"0",NA,NA,NA,NA,NA,"1","0",32.9951364191269,34.8642474050193,-25.2972140490956,11.3267671700268,7.12513615514369,1.34380870445321,2.61900654773805,-3.69980625044342,5.87195280935234,13.5045219897551,9.61249668123344,-7.82298160327856,1.040136325931,-0.0322720399076882,1.42192321900824,0.0119681919446461,0.864889454652569,-1.40062827022775,-1.7831308619657,NA,NA
"Scotophilus viridis",267.223813635972,172.20908142095,264.571299762552,362.051723668048,275.209886292835,325.219754081633,247.901144860494,251.578288112845,233.340394133763,233.351112947329,"Scotophilus viridis nigritellus","Scotophilus viridis","Chiroptera","Vespertilionidae",2.96604596318363,-0.522560879984412,4.57762425655814,NA,6099.418,NA,529.331,NA,662.808,185.3,NA,0.693147180559945,1,358.85,NA,4.17636991853287,NA,2241.684,NA,NA,"1","2",NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,"3","1","0","0","0","1",NA,-2.30258509299405,NA,"0","0","0",1,"1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0",0.385486211901306,0.679985836288117,1.12282782957727,0.00521604161356855,5.9,NA,NA,NA,"0","1","0","0","0","1",36.4986186476575,24.6500927311488,8.96006538937566,-7.4997727303411,-15.8939657029349,13.1490861220615,13.7068044628448,-13.1109828651811,11.8434359059863,4.90804186239608,-5.30865167922105,8.03861884725108,1.19304121954219,0.12471794223153,7.17162302798306,1.06761558974805,-0.641194071788536,-2.21946328028793,-2.44433469070473,NA,NA
