"pco_1","pco_2","pco_3","pco_4","pco_5","pco_6","pco_7","pco_8","pco_9","pco_10","pco_11","pco_12","pco_13","pco_14","pco_15","pco_16","pco_17","tree_match"
-61.5837856577067,-4.75346706104597,-21.880145227981,-40.3292997438318,2.12892163453233,-5.08808177053002,9.0429218041599,4.96656926527418,-2.03312740489737,4.78100441256927,2.37953160332422,5.56960616249556,-19.1428334352719,-3.17003373096666,-0.388456358999336,2.00672948131098,3.25872139186858,"Acerodon celebensis"
-61.5530185448697,-4.84282326831701,-21.9400808447008,-40.3016013276082,2.03693054520016,-5.30166446203403,9.21862050570972,4.85411877070076,-2.25593545680282,4.82972459630152,2.5276608196018,5.79405818233514,-18.9203881905819,-3.50498830999601,-0.438413260947409,2.03246172321432,3.08630049388932,"Acerodon humilis"
-61.5252406745751,-4.94684236386802,-21.993996958216,-40.2637358792422,1.96552720425078,-5.43740522375806,9.34824347229956,4.75908119056901,-2.44244233801308,4.84367899649227,2.65516992539729,5.93651998161321,-18.6770964790477,-3.71653782672764,-0.440747903883544,2.00411538526156,2.96694827264053,"Acerodon jubatus"
-61.1552766143229,-5.21765475719806,-22.1960154680606,-40.2388939636618,1.77621077290088,-6.20075921519131,10.2188791298554,4.69365501299191,-3.15178286513086,5.19086445026999,2.80874595019783,6.51336191880318,-18.2558800837098,-4.95239728374979,-0.57850868069448,2.17961387703462,2.43289356377255,"Acerodon leucotis"
-61.3707163779641,-5.03476109831115,-22.0615389042273,-40.2583920339525,1.91110433139815,-5.73845773177429,9.7297325601013,4.77912338346531,-2.73468792706995,5.01705607229104,2.70849767723514,6.20925087685732,-18.5078893126974,-4.36589426844009,-0.518791322331496,2.11872701987656,2.69596100212925,"Acerodon mackloti"
-73.8647596361561,7.16800349654939,0.357700504552192,-7.91693820675879,3.67920427722084,13.7382377013134,-14.9482604661706,-3.27714564296908,3.8441609634827,-5.35093540981248,5.24952188415434,1.42999769403808,8.91670324153591,-18.2332673627347,-0.698274901104139,2.04105851858744,4.56654829594457,"Aethalops aequalis"
-73.917353516341,7.25451845732507,0.78267798339708,-7.11958906886466,3.5895072040283,13.8832498381298,-15.225368373961,-3.56327574843972,3.65581861638505,-5.28609297065968,5.49650394981631,1.63997848317849,8.30667758417606,-18.0855392976161,-0.674866914594918,2.0722280519508,4.91898168619512,"Aethalops alecto"
-74.2013555413326,7.78153019091622,3.64073002578533,-1.60225109048766,2.84082279059433,14.1967179896719,-16.4321841805958,-5.54489591772,2.09336742220534,-4.84938717577994,7.51959076291929,3.44966529698063,4.58012991678081,-15.8181064141687,-0.535567491198255,2.14679019214134,7.28981606762179,"Alionycteris paucidentata"
21.5806318855609,-50.2535951704452,-10.9803416250859,12.0024286622004,-10.5860460083277,12.409344310288,-4.44536168475739,15.9699543246691,-1.27240956331483,10.7838604962172,-1.92387297142183,7.76974075788438,6.34622120829494,5.01795438787957,-4.11022626857805,5.2047627722147,4.82364172909528,"Ametrida centurio"
-6.95272433138353,-33.9046667569969,-25.5961603928707,-13.3309995348344,-16.1368625706354,-27.0648113146512,11.6656915767714,-19.0253153529556,-13.0254611457595,-3.75791166210223,4.17081853201115,-0.0603393899129554,20.5620490200497,17.6432173893861,0.855058662495651,-2.40771530257885,11.9579137899133,"Amorphochilus schnablii"
18.5248277180542,-47.4994014045966,-19.7990260316472,9.77586544592517,-23.8174068656533,-13.8551905005812,-7.79442609104527,-13.3712042671109,6.79610412286845,-9.03216074750758,0.658984468992394,-7.12486727256343,-5.19854427555011,-3.71601141082708,1.15220404681911,-0.999185439561189,-1.26272756748624,"Anoura caudifer"
18.5248277180542,-47.4994014045966,-19.7990260316472,9.77586544592517,-23.8174068656533,-13.8551905005812,-7.79442609104523,-13.371204267111,6.79610412286843,-9.03216074750749,0.658984468992436,-7.12486727256339,-5.19854427555014,-3.7160114108271,1.15220404681908,-0.999185439561172,-1.2627275674863,"Anoura caudifer"
18.583390244215,-47.6376124399471,-19.7408477207661,9.95054657632898,-23.7592005784309,-13.3590195974779,-8.05021524328777,-12.8974470947424,7.07384706700291,-8.87819844332427,0.419201309180044,-7.23263036073768,-5.52270837722899,-3.79577217695017,1.1684110198857,-1.25873248674223,-1.60756247890504,"Anoura geoffroyi"
18.5248277180542,-47.4994014045966,-19.7990260316472,9.77586544592516,-23.8174068656533,-13.8551905005812,-7.7944260910453,-13.3712042671109,6.7961041228684,-9.03216074750756,0.658984468992424,-7.12486727256323,-5.19854427555,-3.71601141082693,1.15220404681914,-0.999185439561043,-1.26272756748621,"Anoura caudifer"
18.4871358597844,-47.3850809983933,-19.8248560300865,9.67481721821639,-23.8691309685029,-14.1364618866013,-7.65708711158712,-13.6283529276865,6.60861510753424,-9.11657561937286,0.81408205442758,-7.07038097164797,-4.93070897104552,-3.55061835431823,1.19148733280075,-0.84886979786283,-0.912869592729555,"Anoura cultrata"
18.5547131087412,-47.5808417115851,-19.7761775235745,9.85621822019371,-23.7926563873122,-13.6159615719063,-7.90880317732391,-13.117865124642,6.90164152123949,-8.93041766175189,0.556876686114595,-7.14663428342944,-5.34095378260912,-3.773177664751,1.16578248189543,-1.14640156658523,-1.4425364210247,"Anoura fistulata"
18.583390244215,-47.6376124399471,-19.7408477207661,9.95054657632898,-23.7592005784309,-13.3590195974779,-8.05021524328781,-12.8974470947424,7.07384706700303,-8.87819844332416,0.41920130918009,-7.23263036073761,-5.52270837722897,-3.79577217695019,1.16841101988577,-1.25873248674226,-1.60756247890507,"Anoura geoffroyi"
18.6184244523467,-47.6694908852347,-19.693186851338,10.0694793926873,-23.7478638343469,-13.1638527770447,-8.14546418250406,-12.722626379532,7.14220699897531,-8.80451277571334,0.3750763776949,-7.18606735803785,-5.5189213499881,-3.95946330248312,1.13466802672,-1.36290037185343,-1.76397773705393,"Anoura latidens"
18.4769875779432,-47.3343953157482,-19.8109264849522,9.64431125859738,-23.8517704175382,-14.2168438843979,-7.6180992475872,-13.7234855195551,6.56595451356469,-9.16351702775307,0.854828378105754,-7.08168109136817,-4.83625108850659,-3.45840824838334,1.20685613587854,-0.761415361340185,-0.764692274283804,"Anoura luismanueli"
18.583390244215,-47.6376124399471,-19.7408477207661,9.95054657632898,-23.7592005784309,-13.3590195974779,-8.05021524328781,-12.8974470947424,7.07384706700296,-8.87819844332425,0.419201309180304,-7.23263036073777,-5.52270837722897,-3.79577217694999,1.1684110198858,-1.2587324867422,-1.60756247890503,"Anoura geoffroyi"
-74.5010092616622,8.87337563574072,10.7169153090678,12.6609065086635,0.453089476555316,11.9338305341662,-15.9648871010092,-9.41203176657586,-1.83632881481086,-3.9171213494253,12.2727080887005,7.76498395700645,-1.64146515807598,-1.48367695540632,-0.165474386533265,0.845236066512074,8.53598326302268,"Anthops ornatus"
