"X","order","family","binomial","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","female_relative_maturity","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","relative_age_first_birth","mass_specific_production_rate","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n","foraging_aerial","foraging_arboreal","foraging_ground","foraging_marine","foraging_scansorial","island_mainland","island_marine","island_landbridge","island_endemic","bio_palearctic","bio_afrotropical","bio_antarctic","bio_australasian","bio_indomalayan","bio_nearctic","bio_neotropical","bio_oceanian","iucn_forest","iucn_savanna","iucn_shrubland","iucn_grassland","iucn_wetlands","iucn_rocky","iucn_caves","iucn_desert","iucn_marineneritic","iucn_marineoceanic","iucn_marinedeep","iucn_marineintertidal","iucn_marinecoastal","iucn_artificialterr","iucn_artificialaquatic","iucn_introducedveg","tree_match","gbif_match","iucn_moistforest","iucn_moistsavanna","relative_wing_loading","aspect_ratio","forearm_mm","median_aggregation_size","migration","mixed_species_association_n","cave_roost","cavity_roost","foliage_roost","generalist_roost","min_aridity_index","mean_aridity_index","perc80_aridity_index","pco_1","pco_2","pco_3","pco_4","pco_5","pco_6","pco_7","pco_8","pco_9","pco_10","pco_11","pco_12","pco_13","pco_14","pco_15","pco_16","pco_17"
5606,"Chiroptera","Vespertilionidae","Lasiurus ega",12.2,0.307,75,47.5,6537.107,377.37,377.37,0.057727370838507,NA,470.48,93.11,NA,2.07,1,364.541,NA,60.88,NA,2057.826,0.0719706744894951,NA,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,1860,0,1860,0,"Occurs on mainland",1,0,"Nearctic, Neotropical",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lasiurus ega","Dasypterus ega",1,0,NA,NA,47.50000004,13.49999998,1,2,0,0,0,1,0.02370568,0.615827309,0.652933197,32.58454547,36.57860329,-30.37332172,15.01104379,11.136123,-2.878049592,-4.216199095,4.257259196,-5.422014774,-9.771840633,-6.357384191,4.974454851,-0.557746406,0.013960797,-0.188071593,0.937285045,-0.933890668
5607,"Chiroptera","Vespertilionidae","Lasiurus egregius",17.41,0.305,70,48.99,6243.888,NA,372.618,0.0596772395661165,NA,436.46,74.274,NA,1.908,1.001,364.323,NA,45.13,NA,1879.47,0.0699019585232791,NA,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,NA,NA,0,"Occurs on mainland",1,0,"Neotropical",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lasiurus egregius","Aeorestes egregius",1,0,NA,NA,48.98999995,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,32.48594773,36.46600088,-30.47037329,15.07546627,11.13937656,-2.939565435,-4.32236668,4.390648852,-5.580567753,-10.30331211,-6.936944915,5.585926978,-0.593723351,0.070956938,0.372654408,0.871936427,-0.68924991
5609,"Chiroptera","Vespertilionidae","Lasiurus insularis",20,0.321,89,NA,4405.901,NA,348.9,0.0791892509613811,NA,414.029,76.1,NA,2.985,1,363.379,1.73,44.454,NA,1691.139,0.093971471442504,0.2582025,NA,NA,1,2,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"A",1,0,0,0,1,NA,NA,NA,NA,"Occurs only on isolated islands",NA,NA,"Neotropical",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lasiurus insularis","Dasypterus insularis",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.35457114,36.26722637,-30.47862395,15.10005954,11.12537266,-3.02481976,-4.451124879,4.545687161,-5.778928508,-11.0334348,-7.758874784,6.469725482,-0.644684201,0.149879779,1.278668259,0.724572038,-0.294745626
5610,"Chiroptera","Vespertilionidae","Lasiurus intermedius",20,0.322,89,55.08,4572.178,NA,349.477,0.0764355630948751,NA,413.831,76.1,NA,2.985,1,363.394,1.73,44.261,NA,1706.858,0.0905106931532412,0.2582025,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,1600,NA,NA,0,"Occurs on mainland",1,1,"Nearctic, Neotropical",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lasiurus intermedius","Dasypterus intermedius",0,0,NA,NA,55.08000005,NA,1,NA,0,0,0,1,0.273477924,0.770011284,0.951393133,32.57674018,36.56895962,-30.37707917,15.01367926,11.13164606,-2.881239646,-4.223631147,4.268728788,-5.435757556,-9.817607664,-6.409517185,5.031528068,-0.560571255,0.020425622,-0.110838357,0.933974274,-0.902721943
5611,"Chiroptera","Vespertilionidae","Lasiurus minor",12.33,0.182,65,NA,939.875,263.793,365.25,0.388615507381301,365.25,445.25,80,NA,3.12,1,354.292,1.07,33,5.84,1452.203,0.473733209203351,0.270754257907543,NA,NA,1,2,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"A",1,0,0,0,1,NA,NA,NA,NA,"Occurs only on isolated islands",NA,NA,"Neotropical",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lasiurus minor","Lasiurus minor",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.34320104,36.23802042,-30.44232943,15.0820189,11.10659575,-3.024117107,-4.449406959,4.541875735,-5.777533548,-11.09306086,-7.854195465,6.584170455,-0.646656519,0.162232127,1.479587097,0.71298449,-0.218249207
5612,"Chiroptera","Vespertilionidae","Lasiurus pfeifferi",12.33,0.186,65,NA,939.875,263.793,365.25,0.388615507381301,365.25,445.25,80,NA,3.12,1,354.593,1.07,33,5.84,1471.793,0.473733209203351,0.270754257907543,NA,NA,1,2,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"A",1,0,0,0,1,500,50,450,NA,"Occurs only on isolated islands",NA,NA,"Neotropical",NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Lasiurus pfeifferi","Lasiurus pfeifferi",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.49983439,36.47690098,-30.44768277,15.06262964,11.14512134,-2.935305023,-4.308580513,4.368704116,-5.556005564,-10.22244453,-6.84362194,5.483362837,-0.589037178,0.061202194,0.25278202,0.885966923,-0.736873787
6622,"Chiroptera","Vespertilionidae","Lasiurus salinae",12.33,0.178,65,NA,939.875,60.88,320.824,0.34134751961697,NA,389.872,80,NA,3.06,1,356.28,1,38,5.84,1326.055,0.414812608059582,0.248175182481752,NA,NA,1,2,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"A",1,0,0,0,1,2600,200,2400,NA,NA,NA,NA,"Neotropical",1,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lasiurus blossevillii","Lasiurus blossevillii",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074903089,0.985347755,1.462476995,32.41553224,36.35671994,-30.46125649,15.0808183,11.11702794,-2.982940811,-4.39484022,4.482743227,-5.708003656,-10.81370381,-7.529885146,6.23205909,-0.628001218,0.128484638,1.115113477,0.794263513,-0.394906521
5613,"Chiroptera","Vespertilionidae","Lasiurus seminolus",13,0.185,64.792,NA,939.875,263.793,365.25,0.388615507381301,365.25,445.25,80,NA,3.12,1,354.425,1.285,33,5.84,1459.687,0.473733209203351,0.3084,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,NA,NA,0,"Occurs on mainland",0,0,"Nearctic",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lasiurus seminolus","Lasiurus seminolus",1,0,NA,NA,NA,1.5,1,0,0,0,1,0,0.623475369,0.966415668,1.21721954,32.45368902,36.41602032,-30.46192117,15.07526702,11.12262139,-2.966420088,-4.37081706,4.460678679,-5.682259093,-10.62915769,-7.279453038,5.946377353,-0.61897933,0.100988058,0.743304697,0.835178707,-0.544272825
5615,"Chiroptera","Vespertilionidae","Lasiurus varius",11.815,0.256,108.25,NA,939.875,60.88,304.602,0.324087777630004,NA,377.82,80,NA,3.06,1,354.788,1,38,5.84,1297.916,0.40198962628009,0.258992805755396,NA,NA,1,2,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"A",1,0,0,0,1,1000,NA,NA,NA,"Occurs on mainland",NA,NA,"Neotropical",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Lasiurus varius","Lasiurus varius",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188363814,1.265600061,1.769430668,32.48238394,36.45681968,-30.45968827,15.07064887,11.13544699,-2.946905159,-4.334818012,4.409196169,-5.611626087,-10.40189778,-7.038009487,5.691258177,-0.601742671,0.07938948,0.488477815,0.869615387,-0.649165969
5617,"Chiroptera","Vespertilionidae","Lasiurus xanthinus",12.2,0.31,75,NA,6655.928,377.37,377.37,0.0566968272493332,NA,470.48,93.11,NA,2.07,1,364.328,NA,60.88,NA,2067.204,0.0706858607845518,NA,NA,NA,1,2,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"A",1,0,0,0,1,NA,NA,NA,NA,"Occurs on mainland",NA,NA,"Nearctic, Neotropical",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Lasiurus xanthinus","Dasypterus xanthinus",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044881847,0.277275354,0.315810984,32.59111817,36.59192874,-30.37812012,15.01157652,11.13286073,-2.871641069,-4.207265499,4.247147833,-5.40192742,-9.681784824,-6.255749249,4.866628133,-0.551505325,0.005067803,-0.311876137,0.931112066,-0.972396703
